date,ordinality,count
1898,0.5625,32
1905,0.4545,33
1906,0.451,34
1908,0.4474,38
1909,0.4141,33
1910,0.6422,34
1911,0.5,46
1912,0.5,46
1913,0.4893,40
1914,0.75,38
1915,0.6283,46
1916,0.4688,32
1917,0.6875,48
1918,0.5,34
1920,0.5522,46
1921,0.3226,31
1922,0.4222,45
1928,0.4677,31
1938,0.5469,32
1939,0.5238,42
1941,0.5469,32
1942,0.4674,46
1943,0.5,53
1945,0.5,36
1946,0.328,49
1947,0.4149,47
1948,0.4606,33
1949,0.5492,44
1951,0.3971,34
1953,0.5536,44
1958,0.3656,31
1959,0.3846,39
1960,0.3587,46
1961,0.3953,43
1962,0.4591,55
1963,0.4653,48
1964,0.6008,44
1965,0.42,50
1966,0.4716,47
1967,0.4079,72
1968,0.4808,78
1969,0.5337,89
1970,0.5028,88
1971,0.5158,95
1972,0.5349,86
1973,0.6167,85
1974,0.5895,95
1975,0.546,58
1976,0.5686,51
1977,0.5948,58
1978,0.4589,77
1979,0.6016,62
1980,0.5907,68
1981,0.5947,73
1982,0.5065,77
1983,0.4568,81
1984,0.6128,82
1985,0.3482,42
1986,0.5455,44
1987,0.6389,54
1988,0.4936,78
1989,0.6286,70
1990,0.5263,57
1991,0.5366,41
1992,0.5731,57
1993,0.534,98
1994,0.4184,158
1995,0.466,158
1996,0.471,135
1997,0.5397,105
1998,0.5077,113
1999,0.45,40
2000,0.2763,38
2001,0.5098,34
2002,0.3311,38
2003,0.4402,39
2004,0.5294,51
2005,0.4242,99
2006,0.4909,82
2007,0.4412,34
2008,0.4437,71
2009,0.4401,64
