date,ordinality,count
1818,1.0,45
1820,1.0,33
1821,1.0,31
1824,1.0,33
1830,1.0,56
1831,1.0,45
1835,1.0,43
1837,1.0,47
1838,1.0,42
1839,1.0,59
1840,1.0,48
1842,1.0,38
1843,1.0,36
1844,1.0,31
1845,1.0,43
1846,1.0,50
1847,0.9848,66
1848,1.0,45
1849,1.0,40
1850,1.0,45
1851,1.0,87
1852,1.0,96
1853,1.0,49
1854,1.0,104
1855,1.0,70
1856,1.0,101
1857,1.0,83
1858,1.0,62
1859,1.0,84
1860,1.0,113
1861,1.0,88
1862,1.0,73
1863,1.0,65
1864,1.0,71
1865,1.0,114
1866,1.0,132
1867,1.0,107
1868,1.0,132
1869,1.0,49
1870,1.0,149
1871,1.0,102
1872,1.0,119
1873,0.9917,121
1874,1.0,132
1875,1.0,100
1876,1.0,99
1877,1.0,160
1878,1.0,119
1879,1.0,134
1880,1.0,122
1881,1.0,148
1882,1.0,113
1883,1.0,144
1884,1.0,118
1885,1.0,139
1886,1.0,135
1887,1.0,153
1888,1.0,133
1889,1.0,130
1890,1.0,120
1891,1.0,173
1892,1.0,126
1893,1.0,133
1894,1.0,230
1895,1.0,220
1896,1.0,159
1897,1.0,199
1898,1.0,151
1899,1.0,208
1900,1.0,198
1901,1.0,192
1902,1.0,162
1903,1.0,235
1904,1.0,192
1905,1.0,198
1906,1.0,250
1907,1.0,255
1908,1.0,249
1909,1.0,230
1910,1.0,290
1911,1.0,210
1912,1.0,204
1913,1.0,229
1914,1.0,300
1915,1.0,223
1916,1.0,267
1917,1.0,216
1918,1.0,248
1919,1.0,179
1920,1.0,242
1921,1.0,195
1922,1.0,312
1923,1.0,102
1924,1.0,80
1925,1.0,110
1926,1.0,73
1927,1.0,89
1928,1.0,84
1929,1.0,117
1930,1.0,62
1931,1.0,68
1932,1.0,68
1933,1.0,52
1934,1.0,66
1935,1.0,52
1936,1.0,79
1937,1.0,80
1938,1.0,75
1939,1.0,93
1940,1.0,76
1941,1.0,67
1942,1.0,46
1943,1.0,57
1944,1.0,52
1945,1.0,57
1946,1.0,65
1947,1.0,54
1948,1.0,108
1949,1.0,77
1950,1.0,78
1951,1.0,84
1952,1.0,59
1953,1.0,97
1954,1.0,68
1955,1.0,86
1956,1.0,73
1957,1.0,91
1958,1.0,59
1959,1.0,74
1960,1.0,54
1961,1.0,69
1962,1.0,64
1963,1.0,83
1964,1.0,46
1965,1.0,53
1966,1.0,96
1967,1.0,47
1968,0.9815,54
1969,1.0,57
1970,1.0,64
1971,1.0,75
1972,1.0,48
1973,1.0,63
1974,1.0,54
1975,1.0,33
1976,1.0,61
1977,1.0,61
1978,1.0,63
1979,1.0,58
1980,1.0,75
1981,1.0,58
1982,1.0,70
1983,1.0,56
1985,1.0,38
1986,1.0,54
1987,1.0,57
1988,1.0,52
1989,1.0,39
1990,1.0,41
1991,1.0,55
1992,1.0,47
1993,1.0,38
1994,1.0,75
1995,1.0,40
1996,1.0,40
1998,1.0,35
1999,1.0,30
