date,ordinality,count
1972,0.2157,34
1973,0.2891,32
1974,0.2366,31
1975,0.1528,36
1976,0.2081,43
1977,0.1921,59
1978,0.3081,62
1979,0.1164,58
1980,0.0733,40
1981,0.1895,69
1982,0.1238,70
1983,0.1585,51
1984,0.1243,57
1985,0.1823,54
1986,0.1079,61
1987,0.1559,62
1988,0.1358,101
1989,0.1175,78
1990,0.1553,44
1991,0.1698,38
1992,0.2049,53
1993,0.1389,85
1994,0.1735,147
1995,0.14,136
1996,0.1493,121
1997,0.1649,76
1998,0.1579,86
1999,0.1685,59
2001,0.0917,40
2002,0.1979,40
2003,0.2143,49
2004,0.1604,48
2005,0.1082,96
2006,0.1261,111
2007,0.2201,39
2008,0.2322,45
2009,0.2126,49
