date,ordinality,count
1914,0.8095,42
1915,0.925,50
1916,0.8772,67
1917,0.775,90
1918,0.8032,86
1919,0.7942,111
1920,0.8595,70
1921,0.908,62
1922,0.8003,53
1930,0.8056,36
1931,0.8065,31
1932,0.7785,32
1936,0.8333,41
1938,0.8194,37
1939,0.7279,49
1940,0.7148,45
1941,0.7637,74
1942,0.8604,74
1943,0.8547,71
1944,0.7993,59
1945,0.8333,69
1946,0.7865,70
1947,0.8688,69
1948,0.8635,69
1949,0.8264,88
1950,0.7998,88
1951,0.7506,81
1952,0.7956,76
1953,0.703,70
1954,0.8004,86
1955,0.8097,90
1956,0.8144,75
1957,0.8459,73
1958,0.8,75
1959,0.8868,94
1960,0.7308,89
1961,0.77,100
1962,0.8094,108
1963,0.7749,117
1964,0.7252,89
1965,0.7567,99
1966,0.6213,114
1967,0.8178,105
1968,0.7749,137
1969,0.736,130
1970,0.7655,133
1971,0.7141,109
1972,0.7172,127
1973,0.6401,125
1974,0.7801,144
1975,0.7674,132
1976,0.6706,153
1977,0.7385,168
1978,0.7413,190
1979,0.7302,137
1980,0.7616,189
1981,0.7561,216
1982,0.7733,195
1983,0.6676,212
1984,0.7272,194
1985,0.6811,185
1986,0.6799,184
1987,0.7355,206
1988,0.7458,253
1989,0.6794,228
1990,0.7715,174
1991,0.799,171
1992,0.7269,193
1993,0.7052,194
1994,0.7149,262
1995,0.7204,270
1996,0.783,212
1997,0.7606,186
1998,0.7362,191
1999,0.7076,175
2000,0.719,123
2001,0.7885,104
2002,0.7832,110
2003,0.7976,119
2004,0.6953,99
2005,0.7083,159
2006,0.7591,162
2007,0.8094,76
2008,0.7939,110
2009,0.663,92
2010,0.7538,44
