date,ordinality,count
1913,0.9143,35
1916,0.9091,33
1917,0.7895,38
1918,0.8627,34
1919,0.8297,46
1920,0.8158,38
1921,0.9462,48
1922,0.9167,58
1940,0.9516,31
1941,0.8235,34
1943,0.8529,34
1947,0.8605,43
1948,0.9474,38
1949,0.8581,37
1950,0.725,40
1952,0.9,50
1954,0.907,43
1955,0.9417,36
1956,0.7812,32
1957,0.9048,42
1958,0.8,40
1959,0.9118,34
1960,0.9512,41
1961,0.9118,34
1962,0.9412,34
1963,0.8108,37
1964,0.9128,35
1965,0.9107,35
1966,0.7645,46
1967,0.8413,42
1968,0.9103,39
1969,0.8194,36
1970,0.875,40
1971,0.8659,41
1972,0.9211,57
1973,0.8955,67
1974,0.8143,70
1975,0.8125,64
1976,0.7986,72
1977,0.7527,62
1978,0.7799,78
1979,0.6351,74
1980,0.6487,79
1981,0.6508,63
1982,0.6543,54
1983,0.7541,61
1984,0.9198,49
1985,0.8108,37
1987,0.8919,37
1988,0.7317,41
1989,0.9143,35
1992,0.7561,41
1994,0.7927,41
1995,0.7556,45
1996,0.8529,34
