date,ordinality,count
1963,0.6287,36
1965,0.7634,31
1967,0.6875,32
1968,0.5324,36
1969,0.6909,31
1971,0.6122,32
1972,0.8226,33
1973,0.7472,34
1974,0.5952,31
1977,0.7216,34
1978,0.8287,36
1979,0.7266,38
1980,0.7042,40
1981,0.775,51
1982,0.7475,56
1983,0.7862,46
1984,0.8182,44
1985,0.6732,51
1986,0.7824,36
1987,0.6968,52
1988,0.7088,53
1989,0.7093,57
1990,0.6579,38
1991,0.6469,40
1992,0.7031,36
1993,0.6365,42
1994,0.6949,56
1995,0.8389,60
1996,0.735,50
1997,0.6982,37
1998,0.7411,47
2005,0.5125,40
2006,0.6098,41
2008,0.5603,47
