date,ordinality,count
1854,0.4866,40
1867,0.5552,42
1868,0.4533,36
1869,0.4564,34
1871,0.478,33
1876,0.379,31
1878,0.3387,37
1880,0.4813,35
1881,0.3494,43
1883,0.3196,39
1884,0.4066,37
1885,0.4128,36
1886,0.5102,33
1887,0.3907,32
1888,0.2554,32
1889,0.462,37
1890,0.4429,43
1891,0.319,35
1892,0.3843,47
1893,0.2614,51
1894,0.4354,40
1895,0.3836,45
1896,0.2842,38
1897,0.3419,43
1898,0.4111,42
1899,0.4425,40
1900,0.377,53
1901,0.264,56
1902,0.3304,61
1903,0.2366,55
1904,0.181,58
1905,0.2566,72
1906,0.3358,68
1907,0.4022,63
1908,0.4291,67
1909,0.4422,60
1910,0.396,55
1911,0.3446,69
1912,0.2707,71
1913,0.3321,66
1914,0.4373,63
1915,0.3179,65
1916,0.4584,50
1917,0.3806,56
1918,0.4778,56
1919,0.477,73
1920,0.3495,62
1921,0.4636,67
1922,0.3033,90
1923,0.3953,49
1924,0.3603,55
1925,0.3523,49
1926,0.3851,48
1927,0.4069,53
1928,0.4186,50
1929,0.5217,51
1930,0.4374,57
1931,0.423,58
1932,0.4667,51
1934,0.3818,52
1935,0.4179,52
1936,0.4459,52
1937,0.4324,74
1938,0.5092,84
1939,0.4947,74
1940,0.4964,73
1941,0.4527,76
1942,0.4233,54
1943,0.3664,78
1944,0.3472,48
1945,0.4422,51
1946,0.454,67
1947,0.5132,86
1948,0.4654,109
1949,0.4112,115
1950,0.508,100
1951,0.5091,103
1952,0.5827,113
1953,0.4691,125
1954,0.3943,96
1955,0.4066,128
1956,0.4951,112
1957,0.4353,124
1958,0.5222,134
1959,0.3857,126
1960,0.5171,192
1961,0.529,210
1962,0.4262,186
1963,0.4599,194
1964,0.4583,208
1965,0.4808,214
1966,0.4967,233
1967,0.4623,238
1968,0.4638,215
1969,0.5171,179
1970,0.4847,197
1971,0.4537,153
1972,0.4596,208
1973,0.467,186
1974,0.4532,186
1975,0.4244,212
1976,0.4503,186
1977,0.395,192
1978,0.4901,204
1979,0.4476,209
1980,0.4024,179
1981,0.4386,230
1982,0.3522,203
1983,0.4572,217
1984,0.5004,170
1985,0.3904,157
1986,0.4002,138
1987,0.4397,191
1988,0.4683,221
1989,0.3866,178
1990,0.4585,101
1991,0.3753,86
1992,0.3882,111
1993,0.4416,153
1994,0.3853,185
1995,0.4428,184
1996,0.3889,138
1997,0.4511,111
1998,0.4579,107
1999,0.3748,93
2000,0.4731,59
2001,0.5038,65
2002,0.5029,61
2003,0.5709,51
2004,0.3432,49
2005,0.4297,86
2006,0.4299,78
2007,0.408,52
2008,0.5333,45
2009,0.2634,31
