date,ordinality,count
1899,0.5625,32
1967,0.2258,31
1968,0.4062,32
1969,0.5833,32
1970,0.3438,32
1971,0.5286,35
1973,0.4214,37
1974,0.4618,40
1975,0.437,34
1977,0.516,52
1978,0.2666,50
1979,0.4225,43
1980,0.2349,49
1981,0.3896,61
1982,0.3011,53
1983,0.3262,61
1984,0.3197,61
1985,0.3615,45
1986,0.3413,42
1987,0.3942,52
1988,0.3832,74
1989,0.3853,60
1990,0.3487,39
1991,0.3495,36
1992,0.4188,55
1993,0.3005,73
1994,0.2361,78
1995,0.2557,88
1996,0.3102,92
1997,0.4414,61
1998,0.3053,71
1999,0.2758,50
2000,0.2957,48
2001,0.3616,59
2002,0.2381,42
2003,0.2611,44
2004,0.3148,54
2005,0.3784,45
2006,0.2536,43
2007,0.366,37
2008,0.4062,48
