date,ordinality,count
1880,0.4076,33
1882,0.3095,35
1883,0.5992,42
1886,0.2801,36
1887,0.3925,31
1888,0.5192,39
1889,0.3567,38
1890,0.4347,37
1891,0.3718,39
1892,0.4192,33
1893,0.188,39
1894,0.3903,55
1895,0.3471,53
1896,0.2042,47
1897,0.3333,59
1898,0.3059,67
1899,0.3635,77
1900,0.269,54
1901,0.4054,59
1902,0.3733,50
1903,0.3603,58
1904,0.5538,73
1905,0.2731,65
1906,0.3885,55
1907,0.312,78
1908,0.2799,48
1909,0.3484,82
1910,0.308,61
1911,0.3134,61
1912,0.4716,54
1913,0.3217,55
1914,0.335,61
1915,0.2754,46
1916,0.2877,47
1917,0.4232,46
1920,0.2262,42
1921,0.4746,51
1922,0.3801,56
1923,0.344,36
1924,0.3634,43
1925,0.3409,31
1926,0.4501,41
1927,0.2833,40
1928,0.3536,46
1929,0.3531,57
1930,0.4931,48
1931,0.4125,32
1932,0.3339,44
1933,0.4053,37
1934,0.4708,40
1935,0.3184,41
1936,0.3276,37
1937,0.254,53
1938,0.2622,44
1939,0.2588,38
1940,0.2737,40
1946,0.4071,42
1947,0.2447,50
1948,0.4248,39
1949,0.3864,66
1950,0.2807,57
1951,0.227,42
1952,0.2132,34
1953,0.4071,43
1954,0.2243,41
1955,0.2926,45
1956,0.2218,55
1957,0.287,57
1958,0.2388,41
1959,0.1976,52
1960,0.3061,61
1961,0.332,78
1962,0.304,85
1963,0.2092,74
1964,0.2918,74
1965,0.3303,94
1966,0.295,104
1967,0.2616,103
1968,0.2963,109
1969,0.3038,93
1970,0.2639,108
1971,0.2667,111
1972,0.2612,86
1973,0.2519,92
1974,0.3732,71
1975,0.3006,60
1976,0.3337,40
1977,0.3078,62
1978,0.2199,68
1979,0.3546,64
1980,0.3167,58
1981,0.297,63
1982,0.295,71
1983,0.3125,74
1984,0.3004,77
1985,0.3057,50
1986,0.3178,49
1987,0.3293,61
1988,0.2912,108
1989,0.2841,73
1990,0.2088,38
1991,0.2824,36
1992,0.3619,35
1993,0.2641,61
1994,0.2827,84
1995,0.2871,89
1996,0.2197,85
1997,0.277,58
1998,0.2753,55
2005,0.2815,56
2006,0.3184,64
2008,0.1876,47
2009,0.288,42
