date,ordinality,count
1916,0.9234,37
1917,0.9697,33
1918,0.973,37
1919,0.8333,41
1920,0.9479,48
1921,0.9847,49
1922,0.9955,55
1924,0.9302,43
1925,0.941,38
1926,0.9714,35
1929,0.9457,46
1930,0.9595,37
1932,0.9714,35
1934,0.9677,31
1936,0.875,44
1937,0.9024,41
1938,0.9537,54
1939,0.9231,52
1941,0.9394,33
1947,0.9677,31
1948,0.9714,35
1952,0.9375,32
1956,0.9375,32
1960,0.963,36
1963,0.9677,31
1964,0.9677,31
1965,0.9333,35
1966,0.9915,39
1967,0.8807,44
1968,0.9533,50
1969,0.9083,48
1970,0.9394,33
1971,0.8605,43
1974,0.7794,34
