date,ordinality,count
1851,0.5054,31
1852,0.6774,31
1853,0.6364,33
1854,0.6143,35
1855,0.5161,31
1856,0.5132,38
1859,0.6714,35
1860,0.7105,38
1865,0.5676,37
1866,0.7065,46
1870,0.641,39
1871,0.5758,33
1876,0.5312,32
1877,0.75,40
1878,0.6216,37
1879,0.7021,47
1880,0.6774,31
1881,0.8125,48
1882,0.8222,45
1883,0.7,40
1884,0.5,31
1885,0.7041,49
1886,0.725,40
1887,0.6271,59
1888,0.6405,51
1889,0.6735,49
1890,0.5769,52
1891,0.8,45
1892,0.7232,56
1893,0.625,72
1894,0.6282,39
1895,0.6984,63
1896,0.7105,38
1897,0.5526,38
1898,0.7281,57
1899,0.5761,92
1900,0.68,75
1901,0.6389,54
1902,0.8393,56
1903,0.6222,60
1904,0.6753,58
1905,0.688,78
1906,0.6695,59
1907,0.619,63
1908,0.5952,49
1909,0.7018,57
1910,0.6269,67
1911,0.6404,76
1912,0.4493,69
1913,0.6554,74
1914,0.6475,87
1915,0.597,67
1916,0.6169,67
1917,0.6075,93
1918,0.6941,85
1919,0.7168,101
1920,0.699,98
1921,0.6875,72
1922,0.7452,87
1923,0.6923,39
1924,0.7991,39
1925,0.6667,33
1926,0.7297,37
1927,0.6042,36
1929,0.7941,34
1930,0.7111,45
1931,0.7949,39
1932,0.6154,39
1933,0.7419,31
1934,0.6452,31
1936,0.5946,37
1938,0.6842,38
1939,0.7692,39
1940,0.5,36
1942,0.7179,39
1946,0.5455,33
1948,0.5366,41
1949,0.5128,39
1950,0.4531,32
1951,0.6579,38
1952,0.7429,35
1954,0.614,38
1956,0.5455,33
1958,0.7419,31
1959,0.697,33
1960,0.625,40
1961,0.68,50
1962,0.5676,37
1963,0.7353,51
1964,0.5321,35
1965,0.6171,35
1966,0.6389,36
1967,0.5418,41
1968,0.587,46
1969,0.6296,54
1970,0.6481,54
1971,0.5854,41
1972,0.6393,61
1973,0.527,37
1974,0.7214,35
1975,0.5405,37
1977,0.4346,40
1978,0.4468,47
1979,0.4706,34
1980,0.5833,36
1981,0.5698,43
1982,0.641,39
1983,0.7634,31
1984,0.4444,36
1985,0.6562,32
1987,0.6364,33
1993,0.5185,36
1994,0.5,33
1995,0.4875,40
1996,0.5161,31
1998,0.6912,34
