date,ordinality,count
1962,0.5429,35
1963,0.5381,35
1964,0.4487,39
1966,0.5,34
1968,0.4759,38
1969,0.5532,47
1970,0.4909,55
1971,0.3895,43
1972,0.6016,41
1973,0.4484,42
1974,0.3377,38
1975,0.5162,37
1977,0.5152,33
1978,0.4069,34
1979,0.4649,38
1980,0.5993,47
1981,0.4414,50
1982,0.5,44
1983,0.5341,44
1984,0.6045,59
1985,0.5323,31
1986,0.3566,43
1987,0.4345,56
1988,0.3556,60
1989,0.45,52
1990,0.4643,42
1992,0.4634,41
1993,0.4151,53
1994,0.5269,78
1995,0.4772,73
1996,0.5227,44
1997,0.5227,44
1998,0.5871,66
2002,0.4242,33
2004,0.5,32
2005,0.5061,55
2006,0.35,50
2008,0.5532,47
2009,0.5784,34
