date,ordinality,count
1916,0.2727,33
1917,0.4657,34
1919,0.3125,40
1920,0.4362,47
1921,0.4286,35
1922,0.4722,36
1930,0.4545,33
1946,0.6648,39
1947,0.4737,38
1948,0.4299,36
1949,0.6398,31
1950,0.413,46
1952,0.3537,41
1953,0.5972,36
1954,0.4444,45
1955,0.4631,37
1956,0.4086,50
1957,0.55,43
1958,0.5003,45
1959,0.479,51
1960,0.5826,50
1961,0.5362,68
1962,0.4529,46
1963,0.4032,62
1964,0.455,43
1965,0.4211,64
1966,0.3788,66
1967,0.5218,70
1968,0.4142,67
1969,0.4337,83
1970,0.3511,47
1971,0.4256,65
1972,0.4913,77
1973,0.4265,68
1974,0.5211,71
1975,0.4917,60
1976,0.4541,59
1977,0.5491,78
1978,0.4407,77
1979,0.4977,66
1980,0.4766,64
1981,0.3851,74
1982,0.4583,60
1983,0.4728,49
1984,0.4728,46
1985,0.4222,45
1986,0.449,49
1987,0.5049,48
1988,0.4927,55
1989,0.4906,57
1990,0.5366,41
1993,0.5961,58
1994,0.5793,41
1995,0.4385,58
1996,0.3295,31
1997,0.4857,35
2005,0.3611,36
