date,ordinality,count
1824,0.9487,39
1833,0.7188,32
1835,0.6774,31
1837,0.6889,45
1838,0.9459,37
1839,0.7073,41
1840,0.8333,30
1841,0.6875,32
1844,0.439,41
1845,0.6486,37
1846,0.6042,48
1847,0.6571,35
1848,0.6389,36
1849,0.7027,37
1850,0.6136,44
1851,0.7547,53
1852,0.6607,56
1853,0.6286,70
1854,0.65,60
1855,0.7667,30
1856,0.6667,54
1857,0.6491,57
1858,0.7,40
1859,0.7887,71
1860,0.4524,42
1861,0.8462,39
1862,0.5588,34
1863,0.7179,39
1864,0.7455,55
1865,0.814,43
1866,0.5965,57
1867,0.7347,49
1868,0.6463,82
1869,0.6909,55
1870,0.7111,45
1871,0.6607,56
1872,0.6383,47
1873,0.5957,47
1874,0.6415,53
1875,0.6562,32
1876,0.5645,62
1877,0.7162,74
1878,0.7013,77
1879,0.6389,72
1880,0.5362,69
1881,0.7059,51
1882,0.7067,75
1883,0.6667,84
1884,0.619,63
1885,0.7164,67
1886,0.6094,64
1887,0.7541,61
1888,0.6951,82
1889,0.7317,82
1890,0.6818,66
1891,0.6121,116
1892,0.6623,77
1893,0.7143,77
1894,0.7059,85
1895,0.7123,73
1896,0.5294,51
1897,0.64,50
1898,0.6125,80
1899,0.759,83
1900,0.5753,73
1901,0.7531,81
1902,0.7419,62
1903,0.6098,82
1904,0.7257,113
1905,0.625,72
1906,0.6813,91
1907,0.5789,95
1908,0.6024,83
1909,0.631,84
1910,0.5571,70
1911,0.6494,77
1912,0.7059,85
1913,0.6463,82
1914,0.6071,84
1915,0.4516,93
1916,0.6508,63
1917,0.6078,51
1918,0.5227,44
1919,0.4912,57
1920,0.4576,59
1921,0.6806,72
1922,0.6173,81
1923,0.619,42
1924,0.6538,52
1925,0.4762,42
1928,0.5957,47
1929,0.5641,39
1931,0.3571,42
1932,0.7073,41
1933,0.6667,39
1935,0.7,30
1937,0.7727,44
1938,0.7222,54
1939,0.6977,43
1940,0.697,33
1944,0.875,32
1947,0.4848,33
1948,0.6136,44
1949,0.4146,41
1950,0.5278,36
1951,0.6087,46
1952,0.5676,37
1953,0.4667,60
1954,0.4706,51
1955,0.697,33
1957,0.6271,59
1958,0.675,40
1959,0.7903,62
1960,0.6735,49
1961,0.6471,51
1962,0.6226,53
1963,0.52,50
1964,0.4423,52
1965,0.6379,58
1966,0.5507,69
1967,0.6462,65
1968,0.6392,97
1969,0.56,75
1970,0.6098,82
1971,0.4872,78
1972,0.6204,108
1973,0.4648,71
1974,0.4894,94
1975,0.45,60
1976,0.32,75
1977,0.181,116
1978,0.5,106
1979,0.3564,101
1980,0.2133,75
1981,0.3176,85
1982,0.4199,181
1983,0.2857,98
1984,0.3913,69
1985,0.2857,70
1986,0.3281,64
1987,0.2597,77
1988,0.3382,68
1989,0.2414,87
1990,0.2931,58
1991,0.4038,52
1992,0.5556,45
1993,0.2766,141
1994,0.4341,129
1995,0.4066,91
1996,0.4722,72
1997,0.2885,52
1998,0.25,48
1999,0.3788,66
2000,0.6579,38
2001,0.4242,33
2002,0.3333,39
2003,0.3659,41
2005,0.3409,44
2006,0.2895,38
2007,0.2667,30
