date,ordinality,count
1849,0.3309,34
1850,0.2353,34
1853,0.2677,33
1855,0.2339,31
1856,0.2639,36
1859,0.3429,35
1860,0.3333,36
1866,0.2794,34
1868,0.2571,35
1869,0.1404,38
1873,0.1818,33
1883,0.2647,34
1884,0.2407,45
1886,0.2943,47
1888,0.2222,33
1889,0.1029,34
1890,0.2071,33
1891,0.3333,33
1892,0.1855,31
1893,0.1513,38
1895,0.2265,39
1896,0.2154,41
1899,0.2778,45
1900,0.1185,45
1902,0.2895,38
1904,0.2926,45
1905,0.2703,37
1906,0.25,36
1907,0.3514,37
1908,0.2206,34
1909,0.2041,49
1910,0.2708,48
1911,0.2738,42
1912,0.3095,42
1913,0.2432,37
1914,0.3153,37
1915,0.375,48
1916,0.2209,43
1917,0.3014,73
1918,0.2217,53
1919,0.2262,42
1920,0.3209,67
1921,0.3462,52
1922,0.3333,51
1923,0.2568,37
1924,0.2581,31
1926,0.2717,46
1927,0.3039,34
1928,0.25,34
1929,0.2448,32
1932,0.2297,37
1936,0.3065,31
1937,0.3718,39
1938,0.3043,46
1939,0.3235,34
1940,0.2051,39
1941,0.3974,39
1944,0.3871,31
1945,0.4146,41
1946,0.2561,41
1947,0.2833,40
1948,0.2,40
1949,0.1579,38
1950,0.3125,48
1951,0.3333,36
1952,0.3556,45
1953,0.4519,52
1954,0.3804,46
1955,0.1667,51
1956,0.3154,65
1957,0.1522,46
1958,0.2297,74
1959,0.3421,76
1960,0.2078,77
1961,0.3716,74
1962,0.2926,90
1963,0.2889,90
1964,0.3186,95
1965,0.2718,103
1966,0.3387,109
1967,0.2243,107
1968,0.2961,103
1969,0.3189,145
1970,0.2329,161
1971,0.3121,141
1972,0.2803,157
1973,0.3182,154
1974,0.2641,153
1975,0.27,170
1976,0.2864,170
1977,0.3585,180
1978,0.2989,220
1979,0.2715,213
1980,0.2547,193
1981,0.291,249
1982,0.2534,258
1983,0.2876,246
1984,0.234,219
1985,0.2636,171
1986,0.2192,202
1987,0.2509,241
1988,0.2495,314
1989,0.2543,273
1990,0.292,222
1991,0.2919,215
1992,0.2948,288
1993,0.288,426
1994,0.2677,596
1995,0.2377,605
1996,0.2386,538
1997,0.2353,422
1998,0.2407,529
1999,0.2791,303
2000,0.3221,317
2001,0.2996,307
2002,0.2886,387
2003,0.2996,332
2004,0.2593,417
2005,0.2656,687
2006,0.257,664
2007,0.2677,283
2008,0.2491,527
2009,0.2343,451
2010,0.2614,220
2011,0.2357,91
2012,0.2431,66
2013,0.2019,52
2014,0.3019,53
