date,ordinality,count
1956,0.8125,40
1957,0.9118,34
1959,0.8152,46
1960,0.8431,34
1961,0.7263,38
1962,0.8056,36
1963,0.7097,31
1964,0.697,33
1965,0.7523,36
1966,0.6809,47
1967,0.825,40
1968,0.8205,52
1969,0.7959,49
1970,0.7667,50
1971,0.7609,46
1972,0.7008,44
1973,0.7959,49
1974,0.7643,70
1975,0.8493,73
1976,0.8333,75
1977,0.7549,102
1978,0.7498,99
1979,0.7246,79
1980,0.6332,97
1981,0.7343,117
1982,0.6129,110
1983,0.7124,124
1984,0.7813,136
1985,0.735,117
1986,0.6751,127
1987,0.7434,138
1988,0.7869,156
1989,0.6674,152
1990,0.7367,128
1991,0.642,128
1992,0.7417,140
1993,0.6779,201
1994,0.7456,325
1995,0.7506,258
1996,0.7578,249
1997,0.764,215
1998,0.7559,235
1999,0.7664,173
2000,0.7858,147
2001,0.7614,161
2002,0.6892,163
2003,0.786,192
2004,0.7259,133
2005,0.7708,208
2006,0.7354,205
2007,0.7175,119
2008,0.7337,143
2009,0.743,107
2010,0.5851,47
