date,ordinality,count
1961,0.4706,34
1962,0.5714,35
1963,0.5,34
1966,0.4552,35
1967,0.6081,37
1968,0.5833,39
1969,0.5523,51
1970,0.5513,39
1971,0.4635,42
1972,0.5375,57
1973,0.6451,65
1974,0.6074,55
1975,0.4902,51
1976,0.697,44
1977,0.6,50
1978,0.5615,65
1979,0.5816,47
1980,0.5993,58
1981,0.5907,63
1982,0.5993,68
1983,0.5122,52
1984,0.6274,53
1985,0.4348,46
1986,0.7609,46
1987,0.5943,53
1988,0.6059,60
1989,0.6154,52
1990,0.7135,32
1993,0.5765,53
1994,0.5778,72
1995,0.4977,72
1996,0.5972,48
1997,0.5185,45
1998,0.6396,46
2000,0.6452,31
2003,0.5758,33
2005,0.5877,57
2006,0.5132,38
2008,0.3889,36
