date,ordinality,count
1966,0.7762,35
1967,0.6596,33
1969,0.3997,32
1970,0.7857,42
1971,0.6618,34
1972,0.6485,38
1973,0.6328,59
1974,0.6667,54
1975,0.5077,64
1976,0.5057,87
1977,0.6202,94
1978,0.659,108
1979,0.5303,99
1980,0.5726,93
1981,0.5922,94
1982,0.6383,94
1983,0.5455,82
1984,0.6098,82
1985,0.5775,72
1986,0.5802,79
1987,0.659,83
1988,0.5857,91
1989,0.6776,76
1990,0.6005,73
1991,0.6039,67
1992,0.5781,76
1993,0.5129,82
1994,0.5938,99
1995,0.6033,92
1996,0.5075,86
1997,0.418,61
1998,0.4648,71
1999,0.4352,54
2000,0.4409,43
2001,0.3969,57
2002,0.4858,53
2003,0.4643,56
2004,0.3875,40
2005,0.5098,51
2006,0.524,52
2009,0.4219,32
