date,ordinality,count
1893,0.9032,31
1895,0.6562,32
1899,0.8837,43
1900,0.8611,36
1901,0.8537,41
1902,0.8605,43
1903,0.9697,33
1904,0.8438,32
1905,0.8049,41
1906,0.9,40
1907,0.9118,34
1908,0.9744,39
1909,0.8333,48
1910,0.9412,34
1911,0.8182,33
1912,0.8333,54
1913,0.8889,45
1914,0.9302,43
1915,0.8444,45
1917,0.9512,41
1918,0.9062,32
1919,0.8837,43
1920,0.8696,46
1921,0.9268,41
1922,1.0,42
1935,0.9032,31
1948,0.9211,38
1951,0.9444,36
1952,0.8871,31
1954,0.9444,36
1955,1.0,31
1961,0.8462,39
1962,0.9355,31
1963,0.8478,46
1965,0.8056,36
1966,0.8571,35
1967,0.8462,39
1968,0.8095,42
1969,0.8776,49
1970,0.75,32
1971,0.8974,39
1972,0.9143,35
1973,0.9688,32
1974,0.9205,44
1975,0.9,40
1976,0.9474,38
1977,0.9459,37
1978,0.907,43
1979,0.8889,54
1980,0.92,50
1981,1.0,60
1982,0.9615,52
1983,0.8983,59
1984,0.9074,54
1985,0.9512,41
1986,0.9792,48
1987,0.9455,55
1988,0.9524,63
1989,0.98,50
1990,1.0,32
1991,0.9677,31
1992,0.8919,37
1993,0.9184,49
1994,0.9592,49
1995,0.9667,60
1996,1.0,53
1997,0.9535,43
1998,0.9189,37
1999,0.925,40
2005,0.973,37
2006,0.9688,32
