date,ordinality,count
1877,0.0303,33
1884,0.15,40
1885,0.0625,32
1890,0.1,40
1891,0.2778,54
1895,0.1351,37
1897,0.1143,35
1900,0.1707,41
1902,0.1429,35
1904,0.4324,37
1905,0.2212,104
1906,0.3086,81
1907,0.1379,58
1908,0.1818,55
1909,0.25,60
1910,0.1778,45
1911,0.1957,46
1912,0.1887,53
1913,0.127,63
1914,0.2459,61
1915,0.0526,38
1916,0.1827,104
1917,0.1622,37
1919,0.1887,53
1920,0.1897,58
1921,0.1167,60
1922,0.1739,46
1923,0.3143,35
1924,0.2041,49
1925,0.1132,53
1926,0.2059,34
1927,0.1,30
1928,0.2115,52
1929,0.0588,34
1930,0.125,56
1931,0.1212,33
1932,0.1163,43
1934,0.18,50
1935,0.1364,110
1936,0.2027,74
1937,0.0714,42
1938,0.1569,51
1939,0.2063,63
1940,0.0735,68
1941,0.0435,46
1942,0.4259,54
1943,0.283,53
1944,0.2,70
1945,0.0789,38
1946,0.2955,88
1947,0.1831,71
1948,0.2,50
1949,0.1971,137
1950,0.1711,152
1951,0.1866,134
1952,0.1726,168
1953,0.3154,130
1954,0.0933,150
1955,0.1084,166
1956,0.2,100
1957,0.1481,135
1958,0.292,137
1959,0.278,223
1960,0.2169,249
1961,0.2194,278
1962,0.1362,323
1963,0.2556,270
1964,0.2216,343
1965,0.2032,315
1966,0.2913,309
1967,0.2857,308
1968,0.2808,292
1969,0.2348,396
1970,0.2102,295
1971,0.3009,329
1972,0.2625,301
1973,0.3441,401
1974,0.3517,344
1975,0.2997,307
1976,0.3206,262
1977,0.3544,316
1978,0.3158,323
1979,0.3529,306
1980,0.2432,296
1981,0.2624,442
1982,0.322,469
1983,0.2523,440
1984,0.3191,376
1985,0.2995,364
1986,0.2713,328
1987,0.311,463
1988,0.3352,534
1989,0.2374,455
1990,0.3453,307
1991,0.3304,339
1992,0.3175,378
1993,0.353,847
1994,0.3268,1386
1995,0.4091,809
1996,0.3897,544
1997,0.3739,345
1998,0.4408,456
1999,0.4118,221
2000,0.3673,226
2001,0.345,200
2002,0.373,252
2003,0.3281,381
2004,0.3485,264
2005,0.3645,502
2006,0.3141,417
2007,0.3292,240
2008,0.4507,142
2009,0.2821,117
2010,0.3696,46
