date,ordinality,count
1892,0.2632,38
1898,0.4062,32
1900,0.2381,42
1906,0.2432,37
1908,0.2927,41
1910,0.2533,75
1911,0.2647,34
1912,0.2727,44
1913,0.2388,67
1914,0.2727,33
1915,0.5,48
1916,0.2778,36
1917,0.2,70
1918,0.0476,63
1919,0.2632,57
1920,0.2188,96
1921,0.1928,83
1922,0.1622,37
1923,0.2632,38
1924,0.0606,33
1925,0.1892,37
1926,0.1765,34
1927,0.0392,51
1928,0.125,56
1929,0.0667,45
1930,0.0784,51
1931,0.0833,48
1932,0.2439,41
1933,0.1951,41
1934,0.2353,34
1935,0.0213,47
1936,0.1471,34
1937,0.1569,51
1938,0.2162,37
1939,0.1346,52
1940,0.0227,44
1941,0.25,44
1942,0.1087,46
1943,0.2727,77
1944,0.3594,64
1945,0.2182,55
1946,0.1935,62
1947,0.191,89
1948,0.2055,73
1949,0.2222,81
1950,0.2909,110
1951,0.1727,110
1952,0.45,100
1953,0.214,243
1954,0.1207,116
1955,0.2045,88
1956,0.1935,217
1957,0.1826,115
1958,0.2264,106
1959,0.1728,162
1960,0.1496,254
1961,0.1707,164
1962,0.2167,240
1963,0.1528,216
1964,0.2043,235
1965,0.1814,237
1966,0.1756,336
1967,0.149,302
1968,0.2186,279
1969,0.2182,330
1970,0.1329,316
1971,0.184,337
1972,0.2,240
1973,0.1605,243
1974,0.1673,245
1975,0.1728,191
1976,0.2432,148
1977,0.1866,209
1978,0.1773,203
1979,0.1814,204
1980,0.1712,222
1981,0.1654,260
1982,0.2222,180
1983,0.1886,175
1984,0.118,161
1985,0.2345,145
1986,0.1522,184
1987,0.1822,236
1988,0.1626,203
1989,0.1658,193
1990,0.1974,152
1991,0.0884,147
1992,0.2086,556
1993,0.1362,668
1994,0.2068,556
1995,0.2396,455
1996,0.1975,157
1997,0.1438,153
1998,0.1212,132
1999,0.1844,141
2000,0.1463,123
2001,0.1975,238
2002,0.0877,308
2003,0.18,250
2004,0.1259,278
2005,0.1146,288
2006,0.1637,171
2007,0.1156,147
2008,0.1818,220
2009,0.0886,79
2010,0.15,60
2011,0.0588,51
