date,ordinality,count
1915,0.0588,34
1916,0.0,33
1919,0.0312,32
1920,0.0682,33
1922,0.0857,35
1927,0.1515,33
1928,0.1515,33
1930,0.1613,31
1932,0.1282,39
1933,0.122,41
1937,0.2308,39
1939,0.1316,38
1940,0.1048,31
1941,0.1622,37
1944,0.1081,37
1946,0.1528,36
1947,0.1556,45
1948,0.1875,48
1949,0.0732,41
1950,0.125,64
1951,0.0566,53
1952,0.1607,56
1953,0.05,40
1954,0.1538,65
1955,0.0909,66
1956,0.0879,91
1957,0.0667,75
1958,0.1328,64
1959,0.0701,96
1960,0.1833,60
1961,0.12,100
1962,0.156,109
1963,0.1436,106
1964,0.1375,120
1965,0.1155,115
1966,0.1324,145
1967,0.1163,149
1968,0.0994,161
1969,0.0742,209
1970,0.1359,206
1971,0.0972,168
1972,0.0764,216
1973,0.0764,216
1974,0.0834,229
1975,0.076,263
1976,0.0597,226
1977,0.0824,265
1978,0.0793,292
1979,0.0724,274
1980,0.0724,312
1981,0.1084,293
1982,0.0844,314
1983,0.0802,324
1984,0.0644,310
1985,0.063,270
1986,0.0809,278
1987,0.0956,315
1988,0.0803,396
1989,0.0957,343
1990,0.0578,274
1991,0.0578,268
1992,0.0927,275
1993,0.0783,381
1994,0.06,442
1995,0.0595,373
1996,0.0693,332
1997,0.0577,263
1998,0.0487,243
1999,0.0397,214
2000,0.0348,158
2001,0.0538,158
2002,0.0733,208
2003,0.0933,175
2004,0.0657,175
2005,0.1143,246
2006,0.0953,214
2007,0.0791,118
2008,0.0716,136
2009,0.0761,92
2010,0.1154,52
