date,ordinality,count
1962,0.7994,34
1965,0.7563,44
1966,0.7956,33
1967,0.9123,38
1968,0.7546,36
1969,0.8588,38
1970,0.7989,46
1971,0.789,44
1972,0.7959,51
1973,0.7457,46
1974,0.72,50
1975,0.8241,63
1976,0.8323,66
1977,0.774,73
1978,0.7747,91
1979,0.7904,65
1980,0.7387,62
1981,0.7862,82
1982,0.7397,85
1983,0.81,87
1984,0.7832,94
1985,0.7325,85
1986,0.8285,81
1987,0.8277,96
1988,0.7598,115
1989,0.7393,95
1990,0.8038,76
1991,0.6821,68
1992,0.8397,78
1993,0.7185,102
1994,0.7317,126
1995,0.7889,119
1996,0.7536,95
1997,0.7945,70
1998,0.8628,67
1999,0.7791,58
2000,0.7623,52
2001,0.7037,45
2002,0.6619,47
2003,0.657,57
2004,0.6357,43
2005,0.7227,75
2006,0.7342,73
2007,0.8364,44
2008,0.715,50
