date,ordinality,count
1888,0.6754,38
1892,0.7188,40
1893,0.8776,49
1894,0.8095,56
1895,0.6741,42
1896,0.8016,42
1898,0.6294,38
1899,0.8616,53
1900,0.7625,40
1901,0.8157,70
1902,0.7321,56
1903,0.7143,63
1904,0.6932,73
1905,0.7576,66
1906,0.6694,62
1907,0.7701,71
1908,0.6952,82
1909,0.6909,62
1910,0.8474,89
1911,0.7518,91
1912,0.7361,90
1913,0.7887,112
1914,0.7965,113
1915,0.7439,95
1916,0.7071,103
1917,0.7891,97
1918,0.7333,75
1919,0.7738,84
1920,0.8065,93
1921,0.7652,113
1922,0.7631,97
1923,0.7413,67
1924,0.8388,61
1925,0.6356,59
1926,0.7179,53
1927,0.8796,54
1928,0.8571,63
1929,0.6973,56
1930,0.7434,76
1931,0.7164,67
1932,0.7316,77
1933,0.617,47
1934,0.7973,37
1935,0.6852,54
1936,0.625,56
1937,0.7541,61
1938,0.6771,62
1939,0.6476,70
1940,0.7727,77
1941,0.5887,62
1942,0.6385,65
1943,0.7718,71
1944,0.7556,45
1945,0.8289,57
1946,0.7024,68
1947,0.741,83
1948,0.7229,77
1949,0.802,101
1950,0.7255,92
1951,0.6531,98
1952,0.749,81
1953,0.8528,77
1954,0.7179,78
1955,0.6758,91
1956,0.6995,109
1957,0.7912,83
1958,0.6931,107
1959,0.6429,112
1960,0.7114,123
1961,0.7303,127
1962,0.7148,128
1963,0.7293,125
1964,0.6623,114
1965,0.7119,129
1966,0.7287,137
1967,0.7081,127
1968,0.6615,130
1969,0.6717,167
1970,0.6092,148
1971,0.667,164
1972,0.7388,179
1973,0.688,176
1974,0.6407,182
1975,0.6644,203
1976,0.6436,184
1977,0.697,280
1978,0.5825,223
1979,0.6579,237
1980,0.6781,215
1981,0.6388,253
1982,0.5829,217
1983,0.6123,206
1984,0.6015,193
1985,0.6496,166
1986,0.6616,186
1987,0.6699,209
1988,0.6667,231
1989,0.6488,162
1990,0.5895,165
1991,0.5788,144
1992,0.6517,163
1993,0.6652,194
1994,0.5503,233
1995,0.5977,249
1996,0.6234,200
1997,0.5823,158
1998,0.6196,163
1999,0.6409,164
2000,0.6119,109
2001,0.6587,122
2002,0.5314,123
2003,0.6015,121
2004,0.7273,117
2005,0.5936,146
2006,0.5914,124
2007,0.5538,73
2008,0.5739,88
2009,0.5628,78
2010,0.6562,32
