date,ordinality,count
1900,0.5676,37
1919,0.5161,31
1920,0.5104,32
1952,0.4344,32
1956,0.4474,38
1958,0.6061,33
1959,0.4657,34
1960,0.5294,34
1961,0.481,35
1962,0.5162,37
1963,0.4524,42
1964,0.5741,54
1965,0.5222,45
1966,0.4286,49
1967,0.6173,54
1968,0.5597,67
1969,0.6316,38
1970,0.6074,45
1971,0.4251,69
1972,0.5231,65
1973,0.4615,52
1974,0.5306,49
1975,0.55,40
1976,0.3926,45
1977,0.5638,47
1978,0.49,50
1979,0.4967,50
1980,0.5238,42
1981,0.5909,66
1982,0.4692,65
1983,0.5238,42
1984,0.5397,63
1985,0.525,40
1986,0.4595,37
1987,0.5694,72
1988,0.4972,59
1989,0.6071,56
1990,0.5957,47
1991,0.6176,34
1992,0.445,50
1993,0.575,60
1994,0.4943,87
1995,0.6205,83
1996,0.5704,71
1997,0.6296,54
1998,0.5862,58
1999,0.6944,36
2004,0.7097,31
2005,0.5278,48
2006,0.6951,41
