date,ordinality,count
1947,0.6828,31
1948,0.75,34
1949,0.8677,31
1953,0.7562,40
1954,0.6042,32
1955,0.7688,40
1956,0.7708,48
1957,0.7395,47
1958,0.8462,39
1959,0.8488,43
1960,0.8494,57
1961,0.9079,38
1962,0.9189,37
1963,0.7366,31
1964,0.85,40
1965,0.6848,46
1967,0.6852,45
1969,0.7548,31
1971,0.7436,39
1972,0.7325,57
1973,0.8,35
1974,0.7436,39
1975,0.7682,44
1976,0.617,47
1977,0.8825,61
1978,0.8953,86
1979,0.843,103
1980,0.866,102
1981,0.803,66
1982,0.8728,64
1983,0.8633,62
1984,0.8553,53
1985,0.693,43
1986,0.6444,45
1987,0.6788,55
1988,0.6667,39
1989,0.7115,52
1990,0.7766,47
1991,0.7604,48
1992,0.7632,53
1993,0.7063,63
1994,0.7188,64
1995,0.741,70
1996,0.6488,56
1997,0.6704,45
1998,0.6222,45
2000,0.7492,37
2001,0.6712,37
2002,0.6316,38
2005,0.6706,42
