date,ordinality,count
1969,0.4032,31
1971,0.5806,31
1972,0.4167,45
1973,0.4605,38
1974,0.5469,48
1975,0.5556,36
1976,0.519,35
1977,0.5428,38
1978,0.5295,65
1979,0.4468,47
1980,0.4508,61
1981,0.5786,70
1982,0.6004,83
1983,0.5741,76
1984,0.5385,65
1985,0.5761,46
1986,0.5476,56
1987,0.625,76
1988,0.5,94
1989,0.6002,74
1990,0.5833,60
1991,0.5397,63
1992,0.6231,65
1993,0.5041,81
1994,0.5952,133
1995,0.5351,114
1996,0.53,100
1997,0.5083,90
1998,0.5656,64
1999,0.5507,69
2000,0.602,49
2001,0.5349,43
2002,0.5897,39
2003,0.6352,53
2004,0.6989,44
2005,0.498,82
2006,0.55,70
2007,0.7778,36
2008,0.7576,33
2009,0.6071,42
