date,ordinality,count
1941,0.1425,34
1950,0.2815,34
1951,0.2035,31
1953,0.1397,34
1954,0.1361,36
1955,0.3027,43
1956,0.3061,52
1957,0.2513,48
1958,0.2009,52
1959,0.2778,70
1960,0.2823,64
1961,0.2704,90
1962,0.1623,105
1963,0.1162,95
1964,0.2136,103
1965,0.2706,108
1966,0.1914,110
1967,0.2649,115
1968,0.2675,120
1969,0.2161,92
1970,0.212,141
1971,0.2463,143
1972,0.3333,122
1973,0.1901,132
1974,0.2276,149
1975,0.2304,149
1976,0.252,139
1977,0.3001,176
1978,0.2112,184
1979,0.257,167
1980,0.2691,172
1981,0.2235,179
1982,0.2666,203
1983,0.2785,171
1984,0.27,182
1985,0.2425,140
1986,0.275,155
1987,0.1768,179
1988,0.2138,194
1989,0.2173,178
1990,0.3012,159
1991,0.3056,148
1992,0.2469,156
1993,0.2312,226
1994,0.1673,273
1995,0.2236,230
1996,0.2556,200
1997,0.2495,158
1998,0.2266,174
1999,0.2055,138
2000,0.232,143
2001,0.2767,162
2002,0.2211,197
2003,0.3209,163
2004,0.1634,177
2005,0.2069,206
2006,0.1813,192
2007,0.2284,129
2008,0.2585,131
2009,0.1807,91
2010,0.1908,53
