date,ordinality,count
1960,0.2083,36
1962,0.275,40
1963,0.2973,37
1964,0.2826,46
1965,0.1346,52
1966,0.2,50
1967,0.1975,54
1968,0.1129,62
1969,0.1641,64
1970,0.1698,53
1971,0.1852,54
1972,0.2154,65
1973,0.1579,57
1974,0.3269,52
1975,0.2373,59
1976,0.2703,37
1977,0.2295,61
1978,0.1852,54
1979,0.0909,66
1980,0.25,52
1981,0.2203,59
1982,0.26,50
1983,0.2857,63
1984,0.1964,56
1986,0.3182,44
1987,0.2326,43
1988,0.2222,54
1989,0.2632,38
1993,0.18,50
1994,0.2857,49
1995,0.3091,55
1996,0.2927,41
1997,0.3056,36
