date,ordinality,count
1961,0.6759,36
1964,0.9375,32
1965,0.8068,44
1966,0.7907,43
1967,0.8137,51
1968,0.7794,45
1969,0.7386,51
1970,0.7025,66
1971,0.7682,55
1972,0.7385,65
1973,0.7485,55
1974,0.766,66
1975,0.7136,55
1976,0.7179,67
1977,0.7153,72
1978,0.6475,87
1979,0.713,93
1980,0.625,76
1981,0.685,97
1982,0.7634,93
1983,0.808,102
1984,0.7073,96
1985,0.643,79
1986,0.5403,93
1987,0.6634,112
1988,0.6627,97
1989,0.5573,116
1990,0.598,107
1991,0.6057,97
1992,0.532,124
1993,0.5593,159
1994,0.6383,163
1995,0.5486,173
1996,0.6233,124
1997,0.6029,130
1998,0.651,96
1999,0.6008,81
2000,0.525,76
2001,0.6049,61
2002,0.7089,95
2003,0.6356,97
2004,0.6333,106
2005,0.5576,144
2006,0.4826,108
2007,0.4435,56
2008,0.5441,87
2009,0.524,52
2010,0.723,37
