date,ordinality,count
1903,0.402,34
1904,0.3824,34
1908,0.5469,32
1909,0.6667,39
1911,0.4891,46
1912,0.6029,34
1913,0.4211,38
1914,0.6635,52
1915,0.45,40
1916,0.5303,33
1918,0.55,40
1919,0.4516,31
1920,0.4512,41
1922,0.5147,34
1948,0.6857,35
1949,0.6795,39
1950,0.4956,38
1953,0.5714,35
1958,0.4324,37
1960,0.5727,55
1961,0.5357,42
1962,0.4275,69
1963,0.5672,62
1964,0.58,50
1965,0.614,57
1966,0.4898,49
1967,0.4815,72
1968,0.6051,69
1969,0.5956,68
1970,0.6349,63
1971,0.5,58
1972,0.4737,57
1973,0.5455,66
1974,0.5472,65
1975,0.6212,55
1976,0.4831,59
1977,0.425,60
1978,0.5813,80
1979,0.5492,61
1980,0.4802,59
1981,0.5882,68
1982,0.6037,82
1983,0.5897,78
1984,0.6164,73
1985,0.451,51
1986,0.5476,42
1987,0.5441,68
1988,0.6212,66
1989,0.5574,61
1990,0.7128,47
1991,0.4545,44
1992,0.4694,49
1993,0.5968,62
1994,0.5343,68
1995,0.5479,73
1996,0.623,61
1998,0.5152,33
1999,0.5143,35
2000,0.5515,34
2002,0.4861,36
2003,0.5161,31
2005,0.7111,45
2008,0.5,33
