date,ordinality,count
1958,0.3559,31
1959,0.2273,33
1960,0.2976,42
1961,0.237,45
1962,0.1818,44
1963,0.3901,47
1964,0.3266,37
1965,0.3333,36
1966,0.4196,57
1967,0.4405,42
1968,0.4194,62
1969,0.4808,52
1970,0.4495,66
1971,0.3294,63
1972,0.4131,71
1973,0.3247,73
1974,0.3697,78
1975,0.3083,60
1976,0.4578,94
1977,0.3256,92
1978,0.4225,76
1979,0.357,88
1980,0.33,90
1981,0.4268,73
1982,0.3367,98
1983,0.3242,84
1984,0.2922,90
1985,0.3751,85
1986,0.302,58
1987,0.3246,79
1988,0.3278,87
1989,0.2928,77
1990,0.3451,65
1991,0.2339,62
1992,0.2931,60
1993,0.3313,83
1994,0.3517,99
1995,0.4623,109
1996,0.3551,93
1997,0.4666,65
1998,0.415,71
1999,0.3646,74
2000,0.2985,55
2001,0.4197,62
2002,0.3426,54
2003,0.375,60
2004,0.2756,48
2005,0.4297,60
2006,0.315,80
2007,0.5095,35
2008,0.2162,37
2009,0.2419,31
