date,ordinality,count
1958,0.4355,31
1960,0.4687,33
1961,0.3529,34
1962,0.3542,32
1965,0.3182,44
1966,0.4722,36
1967,0.4516,31
1968,0.3848,46
1970,0.4889,48
1971,0.4,50
1972,0.3779,58
1973,0.4355,69
1974,0.4683,63
1975,0.4215,104
1976,0.4127,105
1977,0.3794,143
1978,0.3918,121
1979,0.4125,120
1980,0.395,173
1981,0.4854,123
1982,0.3935,108
1983,0.4466,103
1984,0.4033,81
1985,0.4,65
1986,0.4914,58
1987,0.3914,76
1988,0.343,86
1989,0.3248,88
1990,0.3095,42
1991,0.3182,55
1992,0.322,45
1993,0.3568,64
1994,0.2778,60
1995,0.4528,53
1996,0.4348,46
1997,0.3902,41
1998,0.2333,45
1999,0.4375,34
2001,0.4444,36
2002,0.369,42
2005,0.381,33
2006,0.3646,32
