date,ordinality,count
1951,0.297,33
1959,0.1065,36
1961,0.2843,34
1962,0.2962,42
1963,0.3333,37
1964,0.2035,38
1965,0.3061,49
1966,0.1696,50
1967,0.2642,48
1968,0.2742,69
1969,0.2243,70
1970,0.2761,65
1971,0.261,76
1972,0.173,75
1973,0.2077,69
1974,0.2893,75
1975,0.299,84
1976,0.2475,50
1977,0.1902,77
1978,0.1828,80
1979,0.3194,82
1980,0.3394,72
1981,0.1951,94
1982,0.2494,102
1983,0.2277,97
1984,0.2154,103
1985,0.2495,99
1986,0.217,68
1987,0.2769,110
1988,0.2594,140
1989,0.3003,103
1990,0.3438,61
1991,0.1915,42
1992,0.1763,52
1993,0.2258,132
1994,0.2353,181
1995,0.2251,162
1996,0.2808,97
1997,0.2483,106
1998,0.378,127
1999,0.1884,46
2000,0.2794,34
2001,0.2229,40
2002,0.3072,41
2003,0.2426,45
2004,0.2345,59
2005,0.2717,129
2006,0.2948,127
2007,0.2606,48
2008,0.3689,88
2009,0.2723,81
