date,ordinality,count
1896,0.3871,31
1899,0.2444,45
1902,0.2568,37
1903,0.25,32
1904,0.125,32
1908,0.2812,32
1910,0.2778,36
1914,0.2571,35
1916,0.3514,37
1917,0.1944,36
1918,0.1667,48
1919,0.1176,51
1920,0.1138,65
1921,0.1509,53
1922,0.075,40
1940,0.1143,35
1945,0.129,31
1949,0.1496,39
1952,0.1324,34
1954,0.0286,35
1955,0.0909,33
1956,0.0976,41
1957,0.125,36
1958,0.1,50
1959,0.1111,54
1960,0.06,50
1961,0.0769,39
1962,0.0769,52
1963,0.0893,56
1964,0.0667,45
1965,0.1887,53
1966,0.1111,66
1967,0.087,69
1968,0.1867,83
1969,0.1379,87
1970,0.1346,78
1971,0.0449,89
1972,0.1098,82
1973,0.0704,71
1974,0.1543,72
1975,0.125,48
1976,0.1379,58
1977,0.0625,64
1978,0.089,73
1979,0.0781,64
1980,0.0645,62
1981,0.0814,86
1982,0.1059,85
1983,0.0375,80
1984,0.0556,72
1985,0.0299,67
1986,0.0811,74
1987,0.125,84
1988,0.0444,105
1989,0.051,98
1990,0.0164,61
1991,0.1111,54
1992,0.0517,58
1993,0.1359,103
1994,0.0545,110
1995,0.0926,108
1996,0.0563,71
1997,0.0769,65
1998,0.0476,84
1999,0.0769,52
2000,0.0909,33
2001,0.05,40
2002,0.0732,41
2003,0.0595,42
2004,0.07,50
2005,0.0617,81
2006,0.0625,96
2007,0.119,42
2008,0.0877,57
2009,0.0,55
