date,ordinality,count
1963,1.0,38
1966,0.9778,45
1967,0.9677,31
1969,0.9697,33
1970,0.9762,42
1971,1.0,34
1972,1.0,47
1973,1.0,52
1974,0.9831,59
1975,0.9683,63
1976,1.0,53
1977,1.0,72
1978,0.987,77
1979,1.0,63
1980,0.9853,68
1981,0.9775,89
1982,0.9744,117
1983,1.0,125
1984,0.9907,108
1985,0.9773,88
1986,0.9975,74
1987,0.9592,98
1988,0.9919,164
1989,0.9811,106
1990,0.9661,59
1991,0.9524,42
1992,0.9818,55
1993,0.9894,94
1994,0.9889,186
1995,1.0,169
1996,0.9836,168
1997,0.9885,87
1998,0.9653,105
1999,0.9483,58
2000,0.9645,31
2001,0.9706,34
2003,0.9737,38
2004,0.9545,44
2005,0.9882,85
2006,0.9431,85
2007,0.9783,46
2008,0.9722,36
2009,1.0,33
