date,ordinality,count
1854,0.7619,42
1856,0.7083,48
1857,0.7442,43
1863,0.4545,33
1865,0.9667,30
1866,0.8649,37
1868,0.973,37
1870,0.871,31
1871,0.9429,35
1873,0.7317,41
1874,0.82,100
1875,0.913,46
1876,0.8723,47
1877,0.8235,51
1879,0.8333,42
1880,0.75,48
1881,0.9444,36
1882,0.9062,32
1883,0.8491,53
1884,0.9062,32
1885,0.9375,32
1886,0.8636,44
1887,0.9804,51
1888,0.913,46
1890,0.9219,64
1891,0.9057,53
1892,0.9636,55
1893,0.9474,76
1894,0.9109,101
1895,0.8214,84
1896,0.8852,61
1897,0.8077,52
1898,0.8421,38
1899,0.8095,63
1900,0.79,100
1901,0.9538,65
1902,0.8889,45
1903,0.8837,86
1904,0.9655,58
1905,0.8769,65
1906,0.9106,123
1907,0.8354,79
1908,0.9206,63
1909,0.7848,79
1910,0.8941,85
1911,0.8364,55
1912,0.8427,89
1913,0.7363,91
1914,0.8676,68
1915,0.8537,82
1916,0.8961,77
1917,0.7692,39
1918,0.8226,62
1919,0.814,43
1920,0.9123,57
1921,0.8,55
1922,0.954,87
1923,0.907,43
1925,0.7895,38
1926,0.9211,38
1932,0.9565,46
1939,0.9302,43
1940,0.9302,43
1945,0.3774,53
1946,0.875,32
1948,0.8429,70
1949,0.898,49
1950,0.9104,67
1951,0.8052,77
1952,0.871,62
1953,0.9621,211
1954,0.8269,52
1955,0.7937,63
1956,0.8,50
1957,0.9408,169
1958,0.9865,74
1959,0.873,63
1960,0.9802,101
1961,0.9752,121
1962,0.86,100
1963,0.8779,131
1964,0.9661,59
1965,0.9191,136
1966,0.9764,423
1967,0.9357,171
1968,0.8609,115
1969,0.9259,108
1970,0.8831,154
1971,0.9113,124
1972,0.8571,126
1973,0.9405,168
1974,0.8132,91
1975,0.9505,101
1976,0.8702,131
1977,0.9101,189
1978,0.8392,143
1979,0.8525,183
1980,0.9056,180
1981,0.8655,223
1982,0.9391,115
1983,0.9146,328
1984,0.9505,202
1985,0.8167,180
1986,0.813,230
1987,0.8802,242
1988,0.8794,199
1989,0.8327,269
1990,0.9231,156
1991,0.9309,188
1992,0.8831,385
1993,0.898,510
1994,0.9284,712
1995,0.8891,442
1996,0.8427,178
1997,0.8911,101
1998,0.9436,195
1999,0.8289,152
2000,0.8882,170
2001,0.8462,182
2002,0.9144,187
2003,0.9012,172
2004,0.9305,187
2005,0.8552,297
2006,0.9459,314
2007,0.9557,203
2008,0.9498,219
2009,0.8588,85
2010,0.7188,32
2011,0.9756,41
2012,1.0,37
