date,ordinality,count
1890,0.0,31
1899,0.0,39
1900,0.0606,33
1907,0.0323,31
1909,0.0,37
1910,0.075,40
1912,0.0541,37
1913,0.0455,44
1914,0.0732,41
1915,0.05,40
1917,0.0323,31
1918,0.0312,32
1920,0.075,40
1921,0.1935,31
1947,0.1935,31
1949,0.2258,31
1950,0.2357,35
1953,0.1818,33
1954,0.2976,49
1955,0.1538,39
1957,0.25,32
1958,0.3958,36
1959,0.25,40
1961,0.4314,51
1962,0.38,50
1963,0.3955,59
1964,0.3906,32
1965,0.3816,57
1966,0.3542,32
1967,0.3415,41
1968,0.3384,44
1969,0.3023,43
1970,0.2447,47
1971,0.3424,59
1972,0.4135,52
1973,0.5038,66
1974,0.5217,69
1975,0.544,89
1976,0.3933,75
1977,0.438,86
1978,0.5373,105
1979,0.4641,110
1980,0.5905,105
1981,0.6604,133
1982,0.6367,118
1983,0.5343,96
1984,0.5833,95
1985,0.6035,124
1986,0.5503,96
1987,0.5418,98
1988,0.5351,114
1989,0.5903,119
1990,0.6216,101
1991,0.5754,95
1992,0.6037,82
1993,0.5799,72
1994,0.4794,97
1995,0.5268,114
1996,0.489,91
1997,0.4932,73
1998,0.4938,77
1999,0.3872,65
2000,0.5458,51
2001,0.5625,40
2002,0.5417,52
2003,0.619,42
2004,0.5192,52
2005,0.4784,54
2006,0.4675,40
2007,0.5143,35
2008,0.443,42
