date,ordinality,count
1963,1.0,39
1965,0.9706,34
1966,1.0,37
1967,0.9884,43
1968,0.9688,32
1969,0.9778,45
1970,0.9545,44
1971,1.0,50
1972,0.9821,56
1973,0.9792,48
1974,0.9796,49
1975,1.0,62
1976,0.9767,43
1977,0.9538,65
1978,0.9608,51
1979,1.0,61
1980,0.9643,56
1981,0.9672,61
1982,1.0,51
1983,0.9831,59
1984,0.9815,54
1985,1.0,38
1986,1.0,53
1987,1.0,47
1988,1.0,61
1989,0.9412,51
1990,0.9574,47
1991,0.9677,31
1992,0.9688,64
1993,0.9859,71
1994,1.0,81
1995,1.0,64
1996,0.9906,53
1997,1.0,56
1998,0.98,50
1999,0.9767,43
2000,0.9524,42
2001,1.0,57
2002,1.0,43
2003,1.0,37
2004,1.0,40
2005,0.9846,65
2006,0.9744,39
2008,0.9744,39
2009,1.0,31
