date,ordinality,count
1972,0.5,32
1974,0.4444,36
1975,0.4186,43
1976,0.4521,47
1977,0.375,44
1978,0.3867,45
1979,0.25,56
1980,0.4182,55
1981,0.4839,62
1982,0.3468,62
1983,0.4417,60
1984,0.4406,73
1985,0.4661,59
1986,0.4706,51
1987,0.3516,64
1988,0.2705,92
1989,0.375,64
1990,0.3606,52
1991,0.4886,63
1992,0.3614,83
1993,0.4287,97
1994,0.3738,119
1995,0.4312,126
1996,0.3828,93
1997,0.4111,92
1998,0.4189,97
1999,0.4254,57
2000,0.4483,58
2001,0.449,49
2002,0.4923,65
2003,0.4107,56
2004,0.4206,54
2005,0.369,112
2006,0.3398,94
2007,0.5349,43
2008,0.2969,64
2009,0.3784,74
2010,0.4167,36
