date,ordinality,count
1968,0.3778,45
1969,0.3706,34
1970,0.5476,42
1971,0.375,40
1972,0.3163,49
1973,0.42,50
1974,0.3636,55
1975,0.4884,43
1976,0.4255,47
1977,0.5325,77
1978,0.4286,49
1979,0.4323,64
1980,0.4018,56
1981,0.3932,71
1982,0.4324,74
1983,0.5154,65
1984,0.4179,67
1985,0.4044,68
1986,0.4479,80
1987,0.4531,96
1988,0.476,132
1989,0.4928,93
1990,0.4707,70
1991,0.4705,69
1992,0.4514,110
1993,0.4793,145
1994,0.4813,208
1995,0.5102,229
1996,0.4185,181
1997,0.4063,148
1998,0.4694,171
1999,0.5109,92
2000,0.4999,116
2001,0.4551,120
2002,0.4084,119
2003,0.4331,96
2004,0.3423,119
2005,0.4785,257
2006,0.476,218
2007,0.4755,102
2008,0.3852,193
2009,0.4585,152
2010,0.3841,69
2011,0.3158,38
