date,ordinality,count
1846,0.3235,34
1848,0.1212,33
1852,0.3243,37
1853,0.2826,46
1854,0.4,30
1855,0.1892,37
1856,0.1818,44
1857,0.3333,42
1858,0.2857,35
1859,0.3226,31
1860,0.129,31
1866,0.4324,37
1867,0.2571,35
1868,0.4194,31
1869,0.431,58
1870,0.2703,37
1871,0.3636,33
1873,0.2222,36
1875,0.2632,38
1876,0.3438,32
1879,0.4242,33
1880,0.4545,44
1882,0.3333,33
1883,0.3871,31
1884,0.3077,39
1886,0.2973,37
1887,0.2653,49
1889,0.28,50
1890,0.3333,33
1891,0.2955,44
1892,0.6389,36
1893,0.3125,32
1894,0.2115,52
1895,0.2439,41
1896,0.2857,35
1897,0.2308,39
1898,0.3235,34
1899,0.2321,56
1900,0.2727,55
1901,0.3902,41
1902,0.2895,38
1903,0.24,50
1904,0.3864,44
1905,0.2424,33
1906,0.2051,39
1907,0.2826,46
1908,0.3243,37
1909,0.4595,37
1910,0.2128,47
1911,0.383,47
1912,0.3659,41
1913,0.2326,43
1914,0.2424,33
1915,0.2333,30
1917,0.3571,42
1918,0.2059,34
1919,0.4865,37
1920,0.5,32
1922,0.3429,35
1939,0.2581,31
1942,0.3,30
1948,0.3143,35
1950,0.2188,32
1956,0.2,45
1959,0.2,30
1960,0.3023,43
1961,0.2917,48
1962,0.4318,44
1963,0.2162,37
1965,0.1944,36
1966,0.3056,36
1967,0.2162,37
1968,0.3696,46
1969,0.2899,69
1970,0.2759,58
1971,0.24,50
1972,0.2,50
1973,0.2258,31
1974,0.2667,45
1975,0.1765,34
1977,0.3409,44
1978,0.2258,62
1979,0.2364,55
1980,0.2826,46
1981,0.2973,37
1982,0.2982,57
1983,0.4,35
1984,0.2059,68
1985,0.2553,47
1986,0.2766,47
1987,0.4219,64
1988,0.2903,62
1989,0.3243,74
1990,0.2105,38
1991,0.4423,52
1992,0.2037,54
1993,0.3143,140
1994,0.3521,142
1995,0.3554,121
1996,0.494,83
1997,0.2885,52
1998,0.3455,55
1999,0.2941,34
2002,0.4167,36
2004,0.3714,35
2005,0.1897,58
2006,0.1667,54
2007,0.129,31
2008,0.5,42
2009,0.2162,37
