date,ordinality,count
1881,0.4531,32
1887,0.4839,31
1889,0.2917,36
1892,0.4865,37
1898,0.5177,47
1899,0.4426,61
1900,0.3571,42
1901,0.3902,41
1902,0.4444,42
1904,0.4706,34
1906,0.2714,35
1908,0.4595,37
1909,0.3125,32
1911,0.2121,33
1912,0.3906,32
1914,0.4457,35
1916,0.5147,34
1918,0.3718,39
1919,0.5268,56
1920,0.4103,39
1961,0.4054,37
1962,0.3649,37
1964,0.3333,38
1968,0.2973,37
1969,0.4342,38
1970,0.5513,39
1971,0.4211,38
1972,0.5526,38
1976,0.3906,32
1977,0.5312,32
1987,0.5658,38
1993,0.5303,33
1994,0.4643,42
1995,0.5938,32
1996,0.3939,33
1997,0.4219,32
2005,0.4714,35
