date,ordinality,count
1815,1.0,36
1822,1.0,34
1827,1.0,40
1828,1.0,81
1830,1.0,30
1831,1.0,43
1832,1.0,49
1833,1.0,41
1834,1.0,38
1835,1.0,46
1836,1.0,48
1837,1.0,50
1838,1.0,67
1839,1.0,67
1840,1.0,53
1841,1.0,35
1843,1.0,77
1844,1.0,98
1845,1.0,74
1846,1.0,89
1847,1.0,81
1848,1.0,73
1849,1.0,98
1850,1.0,138
1851,1.0,115
1852,1.0,59
1853,1.0,116
1854,1.0,119
1855,1.0,122
1856,1.0,98
1857,1.0,102
1858,1.0,68
1859,1.0,108
1860,1.0,109
1861,1.0,60
1862,1.0,65
1863,1.0,66
1864,1.0,61
1865,1.0,74
1866,1.0,82
1867,1.0,111
1868,1.0,99
1869,1.0,107
1870,1.0,87
1871,1.0,96
1872,1.0,119
1873,1.0,98
1874,1.0,46
1875,1.0,74
1876,1.0,92
1877,1.0,58
1878,1.0,69
1879,1.0,98
1880,1.0,89
1881,1.0,161
1882,1.0,81
1883,1.0,81
1884,1.0,81
1885,1.0,137
1886,1.0,96
1887,1.0,68
1888,1.0,77
1889,1.0,109
1890,1.0,133
1891,1.0,74
1892,1.0,102
1893,1.0,78
1894,1.0,58
1895,1.0,96
1896,1.0,112
1897,0.9704,135
1898,1.0,129
1899,1.0,163
1900,1.0,90
1901,1.0,132
1902,1.0,85
1903,1.0,111
1904,1.0,100
1905,1.0,74
1906,1.0,61
1907,1.0,111
1908,1.0,98
1909,1.0,85
1910,1.0,121
1911,1.0,106
1912,1.0,77
1913,1.0,92
1914,1.0,85
1915,1.0,65
1916,1.0,68
1917,1.0,109
1918,1.0,44
1919,1.0,56
1920,1.0,61
1921,1.0,48
1922,1.0,108
1923,1.0,34
1924,1.0,32
1925,1.0,64
1926,1.0,37
1928,1.0,39
1929,1.0,32
1930,1.0,42
1931,1.0,37
1935,1.0,50
1936,1.0,39
1939,1.0,45
1940,1.0,36
1941,1.0,43
1943,0.9333,45
1945,1.0,47
1946,1.0,56
1947,1.0,38
1948,1.0,70
1949,1.0,58
1950,1.0,95
1951,1.0,41
1952,1.0,58
1953,1.0,70
1954,1.0,66
1955,1.0,64
1956,1.0,85
1957,1.0,71
1958,1.0,36
1959,1.0,100
1960,1.0,65
1961,1.0,51
1962,1.0,74
1963,1.0,107
1964,1.0,76
1965,1.0,98
1966,1.0,99
1967,1.0,71
1968,1.0,111
1969,1.0,73
1970,0.9793,145
1971,1.0,106
1972,1.0,107
1973,1.0,103
1974,1.0,60
1975,1.0,54
1976,1.0,83
1977,1.0,44
1978,1.0,69
1979,1.0,87
1980,1.0,86
1981,1.0,80
1982,1.0,53
1983,1.0,88
1984,1.0,78
1985,1.0,77
1986,1.0,64
1987,1.0,104
1988,1.0,109
1989,1.0,101
1990,1.0,55
1991,1.0,86
1992,1.0,89
1993,1.0,248
1994,1.0,240
1995,1.0,163
1996,1.0,113
1997,1.0,42
1998,1.0,75
1999,1.0,70
2000,1.0,43
2001,1.0,64
2002,1.0,46
2003,1.0,56
2004,1.0,50
2005,1.0,75
2006,1.0,90
2008,1.0,74
2009,1.0,58
