date,ordinality,count
1800,0.9706,34
1820,0.75,32
1823,0.8788,33
1824,0.8837,43
1828,0.8293,41
1829,0.8423,37
1830,0.7818,55
1831,0.8558,52
1832,0.8358,67
1833,0.7755,62
1834,0.7083,72
1835,0.8052,89
1836,0.8242,73
1837,0.89,50
1838,0.8426,81
1839,0.8243,92
1840,0.8447,66
1841,0.9203,92
1842,0.8157,89
1843,0.8272,81
1844,0.8554,121
1845,0.8697,117
1846,0.8836,136
1847,0.8656,155
1848,0.8947,152
1849,0.875,168
1850,0.8945,173
1851,0.8599,213
1852,0.8883,179
1853,0.8852,212
1854,0.8624,230
1855,0.8915,189
1856,0.833,225
1857,0.8037,236
1858,0.8124,163
1859,0.875,244
1860,0.8602,214
1861,0.9091,126
1862,0.9019,113
1863,0.8674,142
1864,0.8961,186
1865,0.883,161
1866,0.9073,213
1867,0.8633,214
1868,0.838,215
1869,0.8954,216
1870,0.8588,240
1871,0.8784,220
1872,0.8974,182
1873,0.9205,197
1874,0.9049,206
1875,0.9265,204
1876,0.9064,219
1877,0.9142,204
1878,0.8981,198
1879,0.9465,215
1880,0.935,277
1881,0.907,242
1882,0.9342,266
1883,0.9247,279
1884,0.9203,317
1885,0.9325,248
1886,0.908,268
1887,0.9291,261
1888,0.9516,279
1889,0.9256,363
1890,0.946,303
1891,0.918,319
1892,0.9096,284
1893,0.9366,289
1894,0.9458,299
1895,0.9348,312
1896,0.9265,336
1897,0.9277,288
1898,0.9496,354
1899,0.9311,497
1900,0.9574,387
1901,0.9507,345
1902,0.9428,332
1903,0.9545,352
1904,0.9213,362
1905,0.9404,327
1906,0.923,340
1907,0.9164,369
1908,0.9527,338
1909,0.9687,383
1910,0.9489,383
1911,0.9432,408
1912,0.945,429
1913,0.9563,439
1914,0.9424,408
1915,0.9388,376
1916,0.9517,390
1917,0.9572,376
1918,0.9257,350
1919,0.9329,419
1920,0.9245,470
1921,0.9488,342
1922,0.9409,427
1923,0.9534,247
1924,0.9479,217
1925,0.9211,228
1926,0.9254,248
1927,0.9449,254
1928,0.9514,257
1929,0.9108,254
1930,0.9475,257
1931,0.9259,254
1932,0.9274,234
1933,0.937,193
1934,0.9401,192
1935,0.9226,237
1936,0.909,238
1937,0.9441,286
1938,0.9341,253
1939,0.9353,295
1940,0.9575,296
1941,0.9462,288
1942,0.9543,288
1943,0.944,268
1944,0.9475,242
1945,0.9597,236
1946,0.959,317
1947,0.9521,334
1948,0.9104,346
1949,0.9517,369
1950,0.9407,371
1951,0.938,363
1952,0.9237,343
1953,0.956,379
1954,0.9537,387
1955,0.934,419
1956,0.9451,401
1957,0.9392,400
1958,0.9355,434
1959,0.9436,448
1960,0.9538,517
1961,0.9402,566
1962,0.9491,571
1963,0.9613,581
1964,0.9579,603
1965,0.9488,566
1966,0.9455,606
1967,0.94,686
1968,0.9438,721
1969,0.9454,752
1970,0.9556,758
1971,0.953,685
1972,0.9551,780
1973,0.9595,810
1974,0.9537,834
1975,0.9428,882
1976,0.9514,684
1977,0.9634,905
1978,0.9573,973
1979,0.9509,936
1980,0.9462,899
1981,0.9568,1061
1982,0.9603,1082
1983,0.9534,1163
1984,0.9509,1077
1985,0.96,865
1986,0.9513,830
1987,0.9443,1053
1988,0.9628,1343
1989,0.9555,1145
1990,0.9555,771
1991,0.965,664
1992,0.9453,722
1993,0.947,1036
1994,0.9521,1546
1995,0.9506,1477
1996,0.9457,1281
1997,0.9501,935
1998,0.9511,1136
1999,0.9426,769
2000,0.9518,539
2001,0.9559,563
2002,0.9607,551
2003,0.958,601
2004,0.9288,583
2005,0.9609,1082
2006,0.9643,1038
2007,0.9492,469
2008,0.9442,676
2009,0.953,635
2010,0.9593,254
2011,0.9659,88
2012,0.9773,77
2013,0.9384,46
2014,0.9784,54
