date,ordinality,count
1961,0.1875,32
1962,0.3958,32
1963,0.3088,34
1964,0.4167,36
1966,0.4875,40
1967,0.3182,44
1968,0.3141,39
1969,0.4069,47
1970,0.4862,43
1971,0.3116,46
1972,0.2442,43
1973,0.299,46
1974,0.2857,42
1975,0.2667,50
1976,0.2753,56
1977,0.3165,62
1978,0.1968,50
1979,0.406,61
1980,0.3199,59
1981,0.2576,69
1982,0.3003,73
1983,0.319,62
1984,0.1683,51
1985,0.2976,68
1986,0.36,40
1987,0.3409,77
1988,0.229,71
1989,0.1545,41
1990,0.3849,48
1991,0.2353,42
1992,0.2826,45
1993,0.3352,63
1994,0.3031,65
1995,0.2892,75
1996,0.3266,41
1997,0.4412,34
1998,0.2959,49
2002,0.2984,31
2003,0.4644,32
2004,0.3143,35
2005,0.2591,41
2006,0.4747,33
