date,ordinality,count
1962,0.1818,33
1963,0.1531,32
1965,0.1709,36
1966,0.269,46
1967,0.3262,40
1968,0.4203,61
1969,0.438,77
1970,0.5284,85
1971,0.5035,99
1972,0.5396,99
1973,0.591,142
1974,0.4863,141
1975,0.483,139
1976,0.4989,144
1977,0.452,144
1978,0.4819,185
1979,0.4434,167
1980,0.4048,166
1981,0.4284,181
1982,0.4531,158
1983,0.4014,152
1984,0.3956,151
1985,0.3391,120
1986,0.4043,94
1987,0.4682,149
1988,0.3418,159
1989,0.3781,125
1990,0.3885,86
1991,0.2916,95
1992,0.3204,101
1993,0.2982,114
1994,0.3244,163
1995,0.3195,162
1996,0.3286,125
1997,0.2644,97
1998,0.3434,112
1999,0.2874,70
2000,0.2076,50
2001,0.2852,71
2002,0.3413,52
2003,0.2568,69
2004,0.373,61
2005,0.3219,95
2006,0.5438,70
2007,0.2427,62
2008,0.3152,72
2009,0.4483,50
