date,ordinality,count
1958,0.4601,34
1960,0.4359,39
1963,0.625,44
1964,0.6254,35
1966,0.7059,34
1968,0.7059,34
1969,0.6667,42
1970,0.6977,43
1971,0.6676,42
1972,0.725,40
1973,0.6316,38
1974,0.8095,42
1975,0.7812,32
1976,0.6222,45
1977,0.6642,51
1978,0.5962,52
1979,0.575,60
1980,0.6825,63
1981,0.5682,44
1982,0.6042,48
1983,0.5837,43
1984,0.6739,46
1985,0.5882,51
1986,0.6803,42
1987,0.7273,55
1988,0.5633,79
1989,0.661,59
1990,0.627,42
1991,0.6667,48
1992,0.8219,73
1993,0.7551,98
1994,0.7713,109
1995,0.7672,102
1996,0.7281,57
1997,0.6327,54
1998,0.6517,67
2000,0.3548,31
2001,0.55,40
2002,0.5833,51
2004,0.375,32
2005,0.4701,39
2006,0.375,40
2007,0.7177,31
