date,ordinality,count
1859,0.0369,31
1867,0.0556,36
1871,0.0,33
1872,0.0263,38
1875,0.0323,31
1877,0.0,39
1879,0.0,42
1880,0.0,32
1881,0.0645,31
1883,0.0079,42
1884,0.0227,44
1886,0.0795,44
1887,0.0,33
1888,0.0074,45
1889,0.0476,42
1891,0.036,37
1892,0.0085,39
1893,0.0222,45
1894,0.0795,44
1895,0.1008,62
1896,0.0116,43
1897,0.0196,51
1898,0.0,39
1899,0.02,50
1900,0.0333,60
1901,0.0094,53
1902,0.0455,44
1903,0.0149,67
1904,0.0089,56
1905,0.0,66
1906,0.0219,61
1907,0.0324,74
1908,0.0493,71
1909,0.0241,83
1910,0.0104,75
1911,0.0527,98
1912,0.0009,87
1913,0.0252,103
1914,0.0313,105
1915,0.0154,91
1916,0.0141,80
1917,0.0024,84
1918,0.0,81
1919,0.0294,68
1920,0.0032,79
1921,0.0194,62
1922,0.0454,101
1923,0.0133,49
1924,0.087,46
1925,0.1105,43
1926,0.0652,46
1927,0.05,40
1928,0.0806,31
1929,0.0714,42
1931,0.0859,42
1932,0.05,40
1933,0.141,39
1934,0.0263,38
1935,0.0347,36
1936,0.0378,38
1937,0.0484,31
1938,0.0455,44
1939,0.1143,35
1940,0.1373,51
1941,0.1061,44
1942,0.0725,54
1943,0.0526,38
1944,0.1618,34
1946,0.0605,40
1947,0.1118,38
1948,0.0993,47
1949,0.0924,46
1950,0.1357,39
1951,0.1153,45
1952,0.1368,39
1953,0.1002,45
1954,0.0938,32
1955,0.2348,33
1957,0.1793,36
1958,0.2353,34
1960,0.1579,38
1961,0.1624,39
1962,0.1395,43
1963,0.0857,35
1964,0.1,35
1965,0.0707,46
1966,0.1458,48
1967,0.0732,41
1968,0.1026,39
1969,0.0915,38
1970,0.0978,46
1971,0.188,39
1972,0.2657,36
1973,0.0943,53
1974,0.1212,33
1975,0.1955,37
1976,0.1447,38
1977,0.1171,52
1978,0.2444,45
1979,0.2283,46
1980,0.1134,33
1981,0.2195,41
1982,0.0889,45
1983,0.1667,36
1984,0.25,36
1985,0.1887,53
1987,0.1667,45
1988,0.2766,47
1989,0.1569,51
1990,0.2624,47
1991,0.2619,35
1992,0.25,34
1993,0.2094,39
1994,0.2619,42
1995,0.3162,45
1996,0.2639,36
1997,0.1613,31
1998,0.1504,41
1999,0.2012,45
2000,0.0882,34
2001,0.0938,32
2003,0.0929,35
2005,0.1471,34
