date,ordinality,count
1977,0.3649,37
1978,0.2653,49
1979,0.3158,57
1980,0.2746,35
1981,0.305,47
1982,0.2124,34
1983,0.4462,52
1984,0.4043,47
1985,0.2466,37
1987,0.3611,36
1988,0.4211,50
1989,0.4407,59
1990,0.3676,34
1991,0.2794,34
1992,0.3191,47
1993,0.3829,79
1994,0.3253,83
1995,0.2718,97
1996,0.3409,99
1997,0.3071,89
1998,0.3122,79
1999,0.3356,73
2000,0.3247,77
2001,0.3333,57
2002,0.2792,80
2003,0.3177,87
2004,0.3591,82
2005,0.3326,115
2006,0.3647,85
2007,0.2905,35
2008,0.3108,65
2009,0.3455,48
