date,ordinality,count
1951,0.129,31
1955,0.1861,40
1956,0.2393,39
1957,0.2547,53
1958,0.1317,42
1959,0.159,63
1960,0.197,94
1961,0.1181,88
1962,0.1356,76
1963,0.149,120
1964,0.1066,107
1965,0.1064,173
1966,0.1056,208
1967,0.1392,238
1968,0.1093,239
1969,0.1115,255
1970,0.1244,242
1971,0.1518,296
1972,0.1292,305
1973,0.0977,325
1974,0.1003,322
1975,0.1235,376
1976,0.0917,362
1977,0.0575,467
1978,0.1035,536
1979,0.0959,483
1980,0.0908,489
1981,0.0857,418
1982,0.0796,380
1983,0.0759,333
1984,0.089,326
1985,0.1018,237
1986,0.1039,250
1987,0.105,269
1988,0.0955,299
1989,0.1024,248
1990,0.0676,242
1991,0.1368,176
1992,0.0906,221
1993,0.0993,231
1994,0.0758,281
1995,0.1067,289
1996,0.0736,245
1997,0.0637,161
1998,0.114,190
1999,0.0925,152
2000,0.0941,108
2001,0.0725,108
2002,0.109,107
2003,0.0667,137
2004,0.0671,82
2005,0.0842,101
2006,0.0833,96
2007,0.1051,46
2008,0.0411,73
2009,0.0537,76
2010,0.0135,37
