date,ordinality,count
1969,0.3382,34
1971,0.2515,36
1972,0.4797,41
1973,0.3642,36
1974,0.3429,35
1975,0.3104,40
1976,0.4254,42
1977,0.5269,40
1978,0.3108,37
1979,0.4913,48
1980,0.4359,39
1981,0.45,40
1982,0.337,46
1983,0.3439,63
1984,0.4545,44
1985,0.5102,49
1986,0.3804,46
1987,0.4059,68
1988,0.5123,61
1989,0.488,50
1990,0.3508,56
1991,0.4455,52
1992,0.3676,34
1993,0.4182,53
1994,0.2938,59
1995,0.3817,58
1996,0.3093,52
1997,0.5,36
1998,0.3182,44
1999,0.3143,35
2000,0.4946,31
2005,0.4343,33
2006,0.4412,34
