date,ordinality,count
1906,0.2562,47
1907,0.285,43
1908,0.1312,47
1909,0.1918,65
1910,0.2188,62
1911,0.2004,79
1912,0.2483,93
1913,0.2421,95
1914,0.2757,104
1915,0.1804,102
1916,0.2694,116
1917,0.2244,107
1918,0.2535,76
1919,0.2471,78
1920,0.2808,93
1921,0.1972,88
1922,0.3239,100
1923,0.4062,64
1924,0.2974,63
1925,0.4517,58
1926,0.2295,66
1927,0.3017,61
1928,0.4132,94
1929,0.2969,72
1930,0.3316,82
1931,0.4545,71
1932,0.3174,74
1933,0.4938,61
1934,0.3265,61
1935,0.4948,54
1936,0.4659,77
1937,0.4485,55
1938,0.454,67
1939,0.3633,60
1940,0.2956,51
1941,0.4791,65
1942,0.4683,58
1943,0.5403,39
1944,0.4729,40
1945,0.4292,40
1946,0.4114,52
1947,0.4175,51
1948,0.4315,60
1949,0.5195,60
1950,0.4402,75
1951,0.5243,71
1952,0.4781,57
1953,0.5333,67
1954,0.5615,78
1955,0.4897,65
1956,0.4881,71
1957,0.5011,74
1958,0.5083,81
1959,0.5378,89
1960,0.5045,92
1961,0.5625,89
1962,0.5659,100
1963,0.5099,106
1964,0.5949,103
1965,0.5442,97
1966,0.5492,111
1967,0.5174,112
1968,0.5551,125
1969,0.6134,107
1970,0.6084,147
1971,0.6258,133
1972,0.6704,115
1973,0.584,148
1974,0.5319,131
1975,0.5968,133
1976,0.5665,147
1977,0.6219,169
1978,0.577,174
1979,0.5862,178
1980,0.5643,160
1981,0.5907,147
1982,0.5614,165
1983,0.6369,146
1984,0.563,153
1985,0.6554,140
1986,0.5795,122
1987,0.5578,151
1988,0.6441,122
1989,0.6117,141
1990,0.5282,66
1991,0.7124,91
1992,0.6827,96
1993,0.6302,98
1994,0.5975,112
1995,0.5511,81
1996,0.6349,63
1997,0.5707,75
1998,0.6549,52
1999,0.5897,68
2000,0.7391,46
2001,0.7211,49
2002,0.7583,50
2003,0.6205,56
2004,0.5373,50
2005,0.7361,42
2006,0.6305,42
