date,ordinality,count
1963,0.4516,31
1969,0.5303,33
1970,0.587,46
1971,0.4459,37
1972,0.5682,44
1973,0.63,50
1974,0.625,52
1975,0.608,44
1976,0.47,50
1977,0.5778,45
1978,0.6853,58
1979,0.4344,61
1980,0.5417,48
1981,0.6316,38
1982,0.6269,67
1983,0.5574,61
1984,0.5549,41
1986,0.5455,44
1987,0.631,42
1988,0.4727,55
1989,0.4583,48
1990,0.3548,31
1991,0.4861,36
1992,0.5116,43
1993,0.4722,36
1994,0.6032,63
1995,0.5797,69
1996,0.4464,70
1997,0.449,49
1998,0.5577,52
1999,0.5441,34
2003,0.625,32
2005,0.5952,42
2006,0.4028,36
2008,0.4,35
