date,ordinality,count
1847,0.4583,32
1849,0.3594,32
1850,0.4583,36
1852,0.3088,34
1853,0.2703,37
1854,0.3232,33
1855,0.1216,37
1856,0.1581,31
1857,0.3906,32
1859,0.2812,32
1869,0.2805,41
1871,0.25,40
1882,0.375,32
1884,0.1667,33
1886,0.0909,33
1887,0.1029,34
1888,0.1613,31
1889,0.2429,35
1890,0.25,36
1892,0.1413,46
1893,0.2195,41
1897,0.3429,35
1898,0.3235,34
1899,0.2767,66
1900,0.3163,49
1902,0.2927,41
1903,0.2105,38
1904,0.3226,31
1905,0.3009,36
1906,0.5122,41
1907,0.4242,33
1908,0.2703,37
1909,0.2326,43
1910,0.2745,55
1911,0.2245,49
1912,0.2424,33
1913,0.25,46
1914,0.2077,65
1915,0.2639,36
1916,0.2464,46
1917,0.4375,48
1918,0.2361,36
1919,0.3974,39
1920,0.3254,63
1921,0.2791,43
1922,0.3657,70
1923,0.2744,41
1924,0.3974,39
1926,0.3529,34
1927,0.2159,44
1928,0.3878,41
1929,0.3926,45
1930,0.3854,48
1931,0.51,50
1932,0.4186,43
1933,0.4145,39
1934,0.2714,35
1935,0.313,41
1936,0.2868,43
1937,0.3243,37
1938,0.4113,33
1939,0.3243,37
1940,0.407,43
1941,0.2879,39
1942,0.4103,39
1944,0.3229,48
1945,0.25,40
1946,0.3515,72
1947,0.2411,64
1948,0.344,50
1949,0.1799,63
1950,0.3266,74
1951,0.3687,66
1952,0.2734,57
1953,0.2227,61
1954,0.1877,57
1955,0.3169,71
1956,0.4329,82
1957,0.3165,79
1958,0.2612,67
1959,0.2933,75
1960,0.3355,76
1961,0.304,91
1962,0.2588,95
1963,0.4022,104
1964,0.307,95
1965,0.3478,92
1966,0.2962,80
1967,0.3586,107
1968,0.2369,121
1969,0.2522,113
1970,0.2064,122
1971,0.295,111
1972,0.2762,140
1973,0.3431,112
1974,0.2808,130
1975,0.3161,116
1976,0.3711,75
1977,0.3232,112
1978,0.2999,116
1979,0.3813,109
1980,0.3314,86
1981,0.2917,108
1982,0.2391,92
1983,0.2783,115
1984,0.3047,113
1985,0.2443,90
1986,0.2744,82
1987,0.2577,122
1988,0.2822,136
1989,0.245,100
1990,0.2737,82
1991,0.3426,54
1992,0.2755,72
1993,0.3117,131
1994,0.3428,148
1995,0.2739,157
1996,0.2799,134
1997,0.3068,88
1998,0.2561,136
1999,0.239,57
2000,0.2188,48
2001,0.2885,65
2002,0.2941,51
2003,0.2675,62
2004,0.3377,77
2005,0.3586,132
2006,0.2477,109
2007,0.3818,55
2008,0.3363,84
2009,0.2627,59
