date,ordinality,count
1892,0.2891,32
1896,0.3667,35
1897,0.2361,36
1899,0.5732,41
1900,0.3039,51
1901,0.3135,37
1902,0.5294,34
1903,0.376,43
1904,0.5171,39
1905,0.3467,50
1906,0.3609,46
1907,0.3523,44
1908,0.2766,47
1909,0.4774,59
1910,0.5024,70
1911,0.3474,58
1912,0.3413,39
1913,0.3621,58
1914,0.3307,63
1915,0.2443,58
1916,0.3986,46
1917,0.2917,52
1918,0.2829,43
1920,0.2786,58
1921,0.3044,68
1922,0.5025,66
1923,0.5897,39
1930,0.3434,33
1931,0.3674,33
1935,0.5046,36
1937,0.4755,34
1938,0.4103,39
1939,0.3063,40
1940,0.4048,35
1942,0.4487,39
1943,0.2812,32
1946,0.5021,38
1947,0.5382,48
1948,0.4097,56
1949,0.3371,44
1950,0.3775,46
1951,0.413,46
1952,0.3527,43
1953,0.3532,47
1954,0.4694,37
1955,0.3632,39
1956,0.2979,47
1957,0.4595,37
1958,0.3423,37
1959,0.4431,41
1960,0.3816,38
1961,0.414,63
1962,0.4082,49
1963,0.4118,51
1964,0.4583,68
1965,0.494,48
1966,0.4286,56
1967,0.4201,80
1968,0.3364,55
1969,0.3902,63
1970,0.3478,69
1971,0.3822,75
1972,0.3333,66
1973,0.326,91
1974,0.4625,88
1975,0.3883,94
1976,0.3333,90
1977,0.3646,120
1978,0.4381,113
1979,0.313,131
1980,0.3333,92
1981,0.3949,87
1982,0.4388,110
1983,0.3857,117
1984,0.453,120
1985,0.4024,110
1986,0.481,92
1987,0.4252,107
1988,0.5108,133
1989,0.5377,127
1990,0.4739,118
1991,0.4481,77
1992,0.5528,101
1993,0.5219,133
1994,0.542,168
1995,0.4494,147
1996,0.45,110
1997,0.3986,97
1998,0.4031,98
1999,0.3974,78
2000,0.3222,75
2001,0.2754,69
2002,0.3157,66
2003,0.3622,82
2004,0.3449,72
2005,0.3553,91
2006,0.3745,77
2007,0.3595,51
2008,0.275,60
2009,0.3636,44
