date,ordinality,count
1888,0.6776,38
1889,0.5964,32
1890,0.581,36
1892,0.5809,34
1893,0.6143,35
1895,0.7368,38
1896,0.7634,56
1897,0.7143,35
1898,0.7206,34
1899,0.5645,31
1900,0.7439,41
1902,0.5694,36
1903,0.6951,41
1904,0.5422,34
1906,0.8333,36
1907,0.7436,39
1908,0.7162,37
1909,0.8673,49
1910,0.5283,53
1911,0.7805,41
1912,0.7028,53
1913,0.7344,64
1914,0.7407,54
1915,0.7735,49
1916,0.7,55
1917,0.6542,40
1919,0.754,42
1920,0.619,42
1921,0.7447,47
1922,0.6218,52
1924,0.6923,39
1930,0.651,32
1931,0.8382,34
1950,0.6465,33
1957,0.75,33
1958,0.6481,36
1959,0.6406,32
1961,0.7778,36
1962,0.6757,37
1963,0.6466,58
1964,0.7059,51
1965,0.6915,47
1966,0.7231,65
1967,0.7949,39
1968,0.663,54
1969,0.7458,59
1970,0.6,60
1971,0.7011,63
1972,0.801,67
1973,0.7586,58
1974,0.7589,56
1975,0.6667,48
1976,0.7553,47
1977,0.6431,58
1978,0.68,50
1979,0.6596,47
1980,0.7091,55
1981,0.744,56
1982,0.7447,47
1983,0.7359,62
1984,0.5789,57
1985,0.7698,63
1986,0.7627,59
1987,0.7014,72
1988,0.7405,79
1989,0.7373,59
1990,0.7593,54
1991,0.7321,56
1992,0.6731,52
1993,0.6675,99
1994,0.7475,101
1995,0.7087,103
1996,0.7195,82
1997,0.7994,54
1998,0.746,63
1999,0.6667,45
2000,0.7407,54
2001,0.7947,82
2002,0.6857,70
2003,0.7872,65
2004,0.8072,83
2005,0.7848,106
2006,0.7738,84
2007,0.8012,57
2008,0.8125,64
2009,0.7841,44
