date,ordinality,count
1957,1.0,35
1958,1.0,34
1959,0.9512,41
1960,1.0,44
1961,1.0,39
1962,1.0,54
1963,0.9846,65
1964,1.0,61
1965,1.0,55
1966,0.9919,62
1967,1.0,72
1968,0.9865,74
1969,0.9684,79
1970,0.9895,95
1971,0.9223,103
1972,1.0,89
1973,0.9806,103
1974,0.9839,93
1975,1.0,102
1976,0.9677,93
1977,0.9863,146
1978,0.9923,130
1979,0.9571,140
1980,0.9784,139
1981,0.9833,120
1982,0.9771,131
1983,1.0,128
1984,1.0,120
1985,0.9737,114
1986,0.9904,104
1987,0.9664,119
1988,0.9928,139
1989,0.9914,116
1990,0.9537,108
1991,0.9709,103
1992,0.9596,99
1993,0.9533,166
1994,0.9728,239
1995,0.9697,174
1996,0.9755,163
1997,0.9769,121
1998,0.984,146
1999,0.9574,94
2000,0.9592,98
2001,0.967,91
2002,0.991,111
2003,0.9134,127
2004,0.9352,108
2005,0.9216,153
2006,0.9195,149
2007,0.9048,84
2008,0.9635,96
2009,0.96,75
2010,0.9688,32
