date,ordinality,count
1961,0.125,48
1962,0.0882,34
1963,0.1351,37
1964,0.0,34
1965,0.0769,39
1966,0.1951,41
1967,0.0784,51
1968,0.1765,51
1969,0.0351,57
1970,0.1231,65
1971,0.05,60
1972,0.0208,72
1973,0.0588,102
1974,0.0897,78
1975,0.0943,106
1976,0.105,100
1977,0.0304,115
1978,0.0917,120
1979,0.0625,128
1980,0.0336,119
1981,0.0903,144
1982,0.0788,165
1983,0.0651,169
1984,0.0365,137
1985,0.0876,137
1986,0.0543,138
1987,0.0472,180
1988,0.0647,201
1989,0.0997,194
1990,0.0484,124
1991,0.0565,124
1992,0.0682,132
1993,0.0506,178
1994,0.0741,225
1995,0.0531,245
1996,0.0443,203
1997,0.0759,145
1998,0.0745,188
1999,0.0214,140
2000,0.0648,108
2001,0.0536,112
2002,0.1163,129
2003,0.0423,142
2004,0.0331,121
2005,0.0508,187
2006,0.0854,164
2007,0.1099,91
2008,0.0545,110
2009,0.0905,81
2010,0.0811,37
