date,ordinality,count
1959,0.9324,37
1961,0.8611,36
1962,0.8229,32
1963,0.8947,38
1964,0.875,40
1965,0.8611,36
1966,0.8009,36
1967,0.8205,39
1968,0.9697,33
1969,0.7984,43
1970,0.8704,54
1971,0.85,60
1972,0.9194,62
1973,0.8537,82
1974,0.8476,82
1975,0.8594,64
1976,0.8864,91
1977,0.8681,72
1978,0.8913,69
1979,0.8767,73
1980,0.8693,51
1981,0.8596,57
1982,0.8091,55
1983,0.8421,38
1984,0.8824,34
1986,0.7561,41
1987,0.7097,31
1988,0.7674,43
1989,0.7368,38
1990,0.7556,45
1991,0.9062,32
1992,0.6923,39
1993,0.8113,53
1994,0.8085,47
1995,0.7556,45
1996,0.6176,34
1997,0.7353,34
