date,ordinality,count
1940,0.1471,34
1948,0.1196,43
1949,0.1806,36
1950,0.1795,39
1951,0.1026,39
1952,0.1429,42
1953,0.1486,37
1954,0.2093,43
1955,0.2,35
1956,0.2593,54
1957,0.2323,66
1958,0.1617,60
1959,0.1667,69
1960,0.1364,55
1961,0.1845,84
1962,0.2436,78
1963,0.1068,103
1964,0.1562,104
1965,0.1246,111
1966,0.2346,76
1967,0.1433,100
1968,0.1253,131
1969,0.1321,106
1970,0.1878,126
1971,0.1705,132
1972,0.2,125
1973,0.1876,137
1974,0.2161,143
1975,0.2346,146
1976,0.131,140
1977,0.1988,166
1978,0.1961,164
1979,0.1998,170
1980,0.1953,169
1981,0.1248,179
1982,0.1376,178
1983,0.1722,188
1984,0.1667,177
1985,0.1901,146
1986,0.1728,135
1987,0.1748,189
1988,0.1912,204
1989,0.2129,183
1990,0.1916,107
1991,0.1809,94
1992,0.1494,106
1993,0.2379,145
1994,0.1962,193
1995,0.198,164
1996,0.1699,154
1997,0.1276,96
1998,0.2287,94
1999,0.2391,69
2000,0.0933,45
2001,0.0865,52
2002,0.2143,56
2003,0.2872,47
2004,0.2716,54
2005,0.1808,71
2006,0.2231,65
2007,0.2419,31
2008,0.3194,36
2009,0.2344,32
