date,ordinality,count
1913,0.0286,35
1914,0.0215,31
1917,0.0,37
1918,0.0192,52
1919,0.0,50
1920,0.0426,47
1921,0.0143,35
1922,0.0185,54
1924,0.0645,31
1931,0.0303,33
1938,0.0,32
1940,0.1371,37
1941,0.1565,42
1942,0.0606,33
1945,0.0244,41
1946,0.0625,32
1947,0.0,36
1948,0.0469,32
1949,0.0645,31
1950,0.0,40
1951,0.0294,34
1952,0.0,48
1953,0.0196,34
1954,0.0857,35
1955,0.02,50
1957,0.0,34
1958,0.125,32
1959,0.1364,44
1960,0.0303,33
1961,0.0588,34
1962,0.0244,41
1963,0.0256,39
1965,0.0208,48
1966,0.0,40
1967,0.0,43
1968,0.0488,41
1969,0.0541,37
1970,0.0263,38
1971,0.0476,42
1972,0.0645,31
1973,0.025,40
1974,0.0465,43
1975,0.0238,42
1976,0.0882,34
1977,0.0208,48
1978,0.0667,45
1979,0.1395,43
1980,0.1795,39
1981,0.1674,43
1982,0.0732,41
1983,0.0833,48
1984,0.0278,36
1985,0.0918,49
1986,0.2308,39
1987,0.0682,44
1988,0.0732,41
1989,0.051,49
1992,0.125,48
1993,0.0543,46
1994,0.1136,44
1995,0.1224,49
1996,0.0938,32
1997,0.1515,33
2005,0.0,34
