date,ordinality,count
1974,0.5577,39
1975,0.4194,31
1977,0.4286,35
1979,0.3363,39
1980,0.4444,36
1981,0.5116,43
1982,0.5461,47
1983,0.4937,62
1984,0.6496,39
1985,0.4583,32
1986,0.4571,40
1987,0.4926,45
1988,0.5833,48
1989,0.5033,51
1991,0.5294,34
1992,0.5968,31
1993,0.7494,48
1994,0.5364,57
1995,0.6528,60
1996,0.627,63
1997,0.617,47
1998,0.5476,42
1999,0.6106,54
2002,0.5256,45
2003,0.5854,41
2004,0.5469,32
2005,0.6984,42
2006,0.6852,54
2008,0.7192,35
2009,0.5556,33
