date,ordinality,count
1822,0.7031,32
1828,0.7235,42
1829,0.7111,48
1830,0.7652,55
1831,0.8154,65
1832,0.8485,44
1833,0.6865,42
1834,0.8145,53
1835,0.7876,71
1836,0.7391,69
1837,0.7466,36
1838,0.6515,66
1839,0.7246,91
1840,0.7905,49
1841,0.7568,74
1842,0.7262,68
1843,0.7441,85
1844,0.7011,92
1845,0.72,130
1846,0.7286,117
1847,0.7649,140
1848,0.8093,118
1849,0.7395,129
1850,0.8096,160
1851,0.7557,147
1852,0.652,143
1853,0.736,174
1854,0.7451,165
1855,0.7297,127
1856,0.7152,175
1857,0.7284,166
1858,0.7127,123
1859,0.6185,180
1860,0.7455,169
1861,0.754,104
1862,0.6875,84
1863,0.7315,90
1864,0.7603,130
1865,0.7218,134
1866,0.7264,157
1867,0.7481,129
1868,0.7759,148
1869,0.7548,194
1870,0.664,147
1871,0.7234,160
1872,0.7004,161
1873,0.7285,131
1874,0.8106,121
1875,0.6806,144
1876,0.7786,121
1877,0.7518,114
1878,0.7461,127
1879,0.7259,145
1880,0.6769,189
1881,0.774,186
1882,0.7477,165
1883,0.7769,189
1884,0.7446,177
1885,0.805,163
1886,0.7412,170
1887,0.7416,183
1888,0.727,173
1889,0.7261,235
1890,0.7158,182
1891,0.7543,197
1892,0.774,190
1893,0.7979,191
1894,0.757,203
1895,0.7736,209
1896,0.7242,153
1897,0.7974,174
1898,0.7659,181
1899,0.7822,360
1900,0.739,248
1901,0.7594,219
1902,0.7635,204
1903,0.7635,208
1904,0.7195,204
1905,0.6939,202
1906,0.7185,196
1907,0.708,201
1908,0.7446,190
1909,0.7633,204
1910,0.7732,208
1911,0.7161,207
1912,0.7936,176
1913,0.761,190
1914,0.7122,194
1915,0.6761,158
1916,0.798,186
1917,0.776,143
1918,0.7292,132
1919,0.7629,156
1920,0.7374,162
1921,0.7224,133
1922,0.7304,164
1923,0.7638,76
1924,0.6458,80
1925,0.6667,75
1926,0.7413,75
1927,0.6756,78
1928,0.7712,59
1929,0.6566,91
1930,0.7646,65
1931,0.586,62
1932,0.6237,66
1933,0.6702,47
1934,0.7222,57
1935,0.6199,57
1936,0.7643,70
1937,0.6269,66
1938,0.6861,71
1939,0.6696,56
1940,0.8129,57
1941,0.7456,65
1942,0.7853,52
1943,0.6,45
1944,0.7809,54
1945,0.7725,63
1946,0.6235,83
1947,0.6456,75
1948,0.6687,84
1949,0.6016,91
1950,0.7446,93
1951,0.6956,75
1952,0.6245,78
1953,0.6239,78
1954,0.5809,68
1955,0.6476,70
1956,0.6059,91
1957,0.6078,87
1958,0.7089,79
1959,0.6389,102
1960,0.5825,99
1961,0.65,102
1962,0.6363,107
1963,0.5433,114
1964,0.5824,93
1965,0.5908,101
1966,0.6511,118
1967,0.6437,122
1968,0.5604,150
1969,0.6158,177
1970,0.6427,160
1971,0.6002,138
1972,0.5693,137
1973,0.5983,139
1974,0.5438,104
1975,0.5983,117
1976,0.6558,77
1977,0.5765,109
1978,0.6168,107
1979,0.5456,95
1980,0.6198,96
1981,0.5888,86
1982,0.4937,105
1983,0.6144,102
1984,0.4941,89
1985,0.5978,69
1986,0.5926,63
1987,0.5076,105
1988,0.5577,117
1989,0.543,105
1990,0.4643,84
1991,0.5775,71
1992,0.5098,68
1993,0.5629,98
1994,0.5286,131
1995,0.5782,129
1996,0.4898,98
1997,0.5789,76
1998,0.5091,103
1999,0.6486,74
2000,0.602,49
2001,0.4846,48
2002,0.4741,58
2003,0.4925,57
2004,0.3727,55
2005,0.5718,110
2006,0.4908,91
2007,0.5139,36
2008,0.4274,62
2009,0.6121,58
